CLASE;MARCA;MODELO;DMARCA;DMODELO
901;1;1;Peugeot;404
901;1;2;Peugeot;*504 70/84
901;1;3;Peugeot;304 4P
901;1;4;Peugeot;403
901;1;5;Peugeot;*406 97/00 y 00/04
901;1;6;Peugeot;605 91/94 y 94/00
901;1;7;Peugeot;604 ?80
901;1;8;Peugeot;*307 5P 01/06 y 06/11
901;1;9;Peugeot;*405 91/93 y 93/01
901;1;10;Peugeot;*504 84/88 y 88/97
901;1;11;Peugeot;607 01/04 y 04/10
901;1;12;Peugeot;*308 5P 12/15
901;1;13;Peugeot;*106 QUICKSILVER/S16 3P
901;1;14;Peugeot;*405 MI16 / T16
901;1;15;Peugeot;*307 3P 01/06 y 06/11
901;1;16;Peugeot;*505 81/86/91/95
901;1;17;Peugeot;*205 5P 87/00
901;1;18;Peugeot;*205 3P 87/00
901;1;19;Peugeot;*206 GTI y RC 99/10
901;1;20;Peugeot;*504 97/00
901;1;21;Peugeot;*206 QUICKSILVER RALLYE 99/10
901;1;22;Peugeot;*306 97/99 4P/5P
901;1;23;Peugeot;*206 5P 99/04 04/13
901;1;27;Peugeot;*306 96/97 4P/5P
901;1;28;Peugeot;*106 3P 97/03
901;1;29;Peugeot;106 5P 97/03
901;1;30;Peugeot;*206 3P 99/04 04/12
901;1;31;Peugeot;*306 99/02 4P/5P
901;1;32;Peugeot;309 5P
901;1;33;Peugeot;305
901;1;34;Peugeot;407 05/10 y 10/12
901;1;35;Peugeot;*307 06/10 4P
901;1;36;Peugeot;204 5P 1969/1979
901;1;37;Peugeot;*207 COMPACT 5P 08/16
901;1;38;Peugeot;*207 COMPACT 3P 08/16
901;1;39;Peugeot;207 RC 3P 08/16
901;1;40;Peugeot;*207 COMPACT 4P 08/13
901;1;41;Peugeot;207 GTI 3P 10/14
901;1;42;Peugeot;207 GTI 5P 10/14
901;1;43;Peugeot;*408 11/15 Y 15/...
901;1;44;Peugeot;*508 12/16
901;1;45;Peugeot;*208 5P 13/16 16/20
901;1;46;Peugeot;207 3P VERS FRANCES 07/16
901;1;47;Peugeot;208 3P 13/16 Y 16/20
901;1;48;Peugeot;*308 5P 15/...
901;1;49;Peugeot;308 II 5P 17/19/...
901;1;50;Peugeot;508 16/...
901;1;51;Peugeot;*301 17/...
901;1;52;Peugeot;107 05/...
901;1;53;Peugeot;208 II 5P 20/...
901;1;54;Peugeot;203
901;2;1;Renault;LAGUNA 94/99
901;2;2;Renault;*R 4
901;2;3;Renault;R 5
901;2;4;Renault;R 6
901;2;5;Renault;SAFRANE 92/98
901;2;6;Renault;R 21 ALIZE 93/97
901;2;7;Renault;DAUPHINE
901;2;8;Renault;GORDINI
901;2;9;Renault;*MEGANE FASE 2 BIC 99/09
901;2;10;Renault;*R 19 CHAMADE
901;2;11;Renault;#CLIO MIO 12/.. / R18 POLI
901;2;12;Renault;LAGUNA 99/03
901;2;13;Renault;*MEGANE FASE 2 TRIC 99/09
901;2;14;Renault;*R 11 84/91 y 91/95
901;2;15;Renault;*R 9 84/91 y 91/95
901;2;16;Renault;*R 12
901;2;17;Renault;*R 18 81/92 Y 92/94
901;2;18;Renault;*R 21 89/92 y 92/97
901;2;19;Renault;R 25
901;2;20;Renault;R 30
901;2;21;Renault;R 20
901;2;22;Renault;!*CLIO 2 99/03/06/12 4P TRIC
901;2;23;Renault;*R 19 4P/5P
901;2;24;Renault;*CLIO 94/96 3P
901;2;25;Renault;*CLIO 94/96 5P
901;2;26;Renault;*CLIO 96/99 3P
901;2;27;Renault;*CLIO 96/99 5P
901;2;28;Renault;*TWINGO 94/99 y 99/01
901;2;29;Renault;*MEGANE 97/99 4P/5P
901;2;30;Renault;!*CLIO 2 99/03/06/12/16 5P
901;2;31;Renault;#*CLIO 2 03/06 4P TRIC
901;2;32;Renault;#*CLIO 2 03/06 5P
901;2;33;Renault;*LAGUNA II 03/06 06/09
901;2;34;Renault;*TWINGO 01/03
901;2;35;Renault;*CLIO 2 99/03 3P SPORT
901;2;36;Renault;!*CLIO 2 03/06/12/16 3P
901;2;37;Renault;*MEGANE II TRIC 05/10
901;2;38;Renault;MEGANE II 3P IMP 02/10
901;2;39;Renault;#*CLIO 2 06/12 3P
901;2;40;Renault;#*CLIO 2 06/12 4P TRIC
901;2;41;Renault;#*CLIO 2 06/12 5P
901;2;42;Renault;MEGANE II BIC 03/10
901;2;43;Renault;*LOGAN 07/10 y 10/13
901;2;44;Renault;*SANDERO 5P 08/11 11/15
901;2;45;Renault;*SYMBOL 09/13
901;2;46;Renault;*FLUENCE 10/15 Y 15/18
901;2;47;Renault;MEGANE III 5P 11/15 Y 15/17
901;2;48;Renault;LATITUDE 11/...
901;2;49;Renault;#*CLIO 2 MIO 5P 12/16
901;2;50;Renault;#*CLIO 2 MIO 3P 12/16
901;2;51;Renault;CLIO 3 3/5P 05/12 EUROPEO
901;2;52;Renault;*LOGAN II 14/20
901;2;53;Renault;*SANDERO II 15/19 (RS 15/19/.)
901;2;54;Renault;*KWID 17/...
901;2;55;Renault;CLIO 4 5P 12/18 EUROPEO
901;2;56;Renault;SANDERO II 20/...
901;2;57;Renault;LOGAN II 20/...
901;3;1;Fiat;1100 60/63
901;3;2;Fiat;125 72/81
901;3;3;Fiat;*128 71/90
901;3;4;Fiat;131
901;3;5;Fiat;132
901;3;6;Fiat;*133
901;3;7;Fiat;1500
901;3;8;Fiat;*1600
901;3;9;Fiat;*600
901;3;10;Fiat;BRAVA 99/03
901;3;11;Fiat;MAREA 98/03 y 03/07
901;3;12;Fiat;PANDA 3/5P
901;3;13;Fiat;*PREMIO 2/4P
901;3;14;Fiat;*BRIO 87/89
901;3;15;Fiat;*PALIO 01/07 3P
901;3;16;Fiat;*PALIO 01/07 5P
901;3;17;Fiat;*UNO ITAL 5P 92/95
901;3;18;Fiat;BRAVO 99/03
901;3;19;Fiat;*UNO ITAL 3P 92/95
901;3;20;Fiat;1800
901;3;21;Fiat;*SIENA 01/08
901;3;22;Fiat;CROMA
901;3;23;Fiat;CINQUECENTO
901;3;24;Fiat;TIPO 3P 94/96
901;3;25;Fiat;*147 / SPAZIO / VIVACE 83/96
901;3;26;Fiat;*TIPO 5P 94/97
901;3;27;Fiat;TEMPRA 92/95 y 95/97
901;3;28;Fiat;REGATTA 85/92 y 92/96
901;3;29;Fiat;PUNTO 95/00 3/5P
901;3;30;Fiat;*PALIO 97/03 5P
901;3;31;Fiat;*PALIO 97/03 3P
901;3;32;Fiat;*UNO NAC 5P 88/92 92/95 95/04
901;3;33;Fiat;*DUNA 88/92 92/95 95/00
901;3;34;Fiat;*UNO NAC 3P 88/92 92/95 95/04
901;3;35;Fiat;*STILO 5P 03/08 Y 08/12
901;3;36;Fiat;*SIENA 97/01
901;3;37;Fiat;LINEA 14/16 Y 16/17
901;3;38;Fiat;*UNO NAC 3P 04/06 Y 06/15
901;3;39;Fiat;*UNO NAC 5P 04/06 Y 06/15
901;3;40;Fiat;*PALIO 04/17 3P
901;3;41;Fiat;*PALIO 04/17 5P
901;3;42;Fiat;*SIENA 04/18
901;3;43;Fiat;PUNTO 01/07 5P
901;3;44;Fiat;2100
901;3;45;Fiat;2300
901;3;46;Fiat;RITMO 5P
901;3;47;Fiat;*PALIO 07/09 y 09/12 3P
901;3;48;Fiat;*PALIO 07/09 y 09/12 5P
901;3;49;Fiat;*PUNTO 5P 07/13 13/17
901;3;50;Fiat;*SIENA 08/12 12/18
901;3;51;Fiat;*LINEA 09/14
901;3;52;Fiat;*500 09/11 11/17 17/...
901;3;53;Fiat;*UNO NUEVO 5P 10/16
901;3;54;Fiat;*UNO NUEVO 3P 11/16
901;3;55;Fiat;*BRAVO 11/16
901;3;56;Fiat;*PALIO NUEVO 5P 12/17
901;3;57;Fiat;*GRAND SIENA 12/18
901;3;58;Fiat;PANDA 03/11
901;3;59;Fiat;500 ABARTH 12/...
901;3;60;Fiat;*MOBI 16/20 21/..
901;3;61;Fiat;*ARGO 17/20 21/...
901;3;62;Fiat;*CRONOS 18/21 21/...
901;3;63;Fiat;*TIPO 18/...
901;3;64;Fiat;UNO NUEVO II 5P 18/...
901;4;1;Volkswagen;*ESCARABAJO
901;4;2;Volkswagen;*BORA 01/03 03/07 Y 07/14
901;4;3;Volkswagen;*CARAT 87/92
901;4;4;Volkswagen;*JETTA 82/94
901;4;5;Volkswagen;NEW BEETLE 99/06 06/12
901;4;6;Volkswagen;*PASSAT 94/98
901;4;7;Volkswagen;PASSAT 5P 80 IMP
901;4;8;Volkswagen;*SANTANA 87/92
901;4;9;Volkswagen;VENTO (VIEJO IMP) 80
901;4;10;Volkswagen;VOYAGE 83/91
901;4;11;Volkswagen;VW 1500
901;4;12;Volkswagen;*GOLF 4 99/07 5P
901;4;13;Volkswagen;POLO 3/5 P
901;4;14;Volkswagen;*POLO 00/04 y 04/08
901;4;15;Volkswagen;PASSAT 4P 80 IMP
901;4;16;Volkswagen;*PASSAT 98/01
901;4;17;Volkswagen;*PASSAT 01/05
901;4;18;Volkswagen;*GACEL 83/88 88/91
901;4;19;Volkswagen;*GOLF 4 99/07 3P
901;4;20;Volkswagen;*SENDA 91/96
901;4;21;Volkswagen;LOGUS 94/96
