COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;ID_ELEM;DESC_ELEM;VALOR;VIEJO
901;12;27;2;65512;FARO DER 3;1697295.89;False
901;10;31;1;49101;FARO DER 1;1457662.00;False
901;12;13;1;49101;FARO DER 1;1993243.62;False
901;12;14;1;49101;FARO DER 1;1993243.62;False
901;12;16;2;49592;FARO DER 1;2107693.20;False
901;12;20;2;64827;FARO DER 2;1903949.41;False
901;12;20;2;65512;FARO DER 3;1659118.63;False
901;12;26;2;49592;FARO DER 1;2284789.72;False
901;12;27;1;49101;FARO DER 1;1882323.43;True
901;12;27;2;49592;FARO DER 1;2654544.44;False
901;12;28;2;49592;FARO DER 1;2475068.06;False
901;12;29;2;49592;FARO DER 1;2284789.72;False
901;12;30;2;65512;FARO DER 3;1439724.47;False
901;12;32;2;49592;FARO DER 1;1381235.45;False
901;12;33;2;64827;FARO DER 2;2239315.78;False
901;12;33;2;65512;FARO DER 3;1977123.71;False
901;12;34;2;49592;FARO DER 1;2447840.42;False
901;12;36;2;49592;FARO DER 1;1918634.69;False
901;12;45;2;49592;FARO DER 1;1519548.10;False
901;25;25;1;49101;FARO DER 1;1839078.00;False
901;28;27;1;49101;FARO DER 1;1311464.00;True
901;28;30;2;49592;FARO DER 1;1558270.00;True
901;28;30;2;64827;FARO DER 2;1281252.00;True
901;31;22;1;49101;FARO DER 1;2077194.00;False
901;31;22;2;64827;FARO DER 2;1446788.00;False
901;31;22;2;65512;FARO DER 3;1107834.00;False
901;31;25;2;64827;FARO DER 2;1446788.00;False
901;31;25;2;65512;FARO DER 3;1107834.00;False
901;33;18;1;49101;FARO DER 1;1442572.78;False
901;10;27;2;75179;FARO DER 4;196703.31;False
901;10;37;1;49101;FARO DER 1;723862.00;False
901;10;37;1;49102;FARO DER 2;712214.00;False
901;10;37;2;49592;FARO DER 1;491183.00;False
901;10;37;2;64827;FARO DER 2;143774.00;False
901;10;37;2;65512;FARO DER 3;238381.00;False
901;10;38;1;49101;FARO DER 1;723862.00;False
901;10;38;1;49102;FARO DER 2;712214.00;False
901;10;38;2;49592;FARO DER 1;337693.00;False
901;10;39;2;49592;FARO DER 1;257278.00;False
901;10;40;2;49592;FARO DER 1;248143.00;False
901;10;40;2;64827;FARO DER 2;279205.00;False
901;117;1;1;49101;FARO DER 1;581937.40;False
901;11;14;2;49592;FARO DER 1;447235.55;False
901;11;17;2;49592;FARO DER 1;700037.06;False
901;1;45;1;49101;FARO DER 1;1206375.16;False
901;31;20;1;33562;FARITO DER;858634.00;False
901;12;14;2;49592;FARO DER 1;422050.75;False
901;12;15;2;49592;FARO DER 1;474802.98;False
901;31;20;2;49592;FARO DER 1;778078.00;False
901;12;20;2;49592;FARO DER 1;538125.35;False
901;4;63;1;49101;FARO DER 1;1113007.33;False
901;31;22;2;49592;FARO DER 1;914438.00;False
901;4;64;1;49101;FARO DER 1;1113007.33;False
901;12;26;2;64827;FARO DER 2;357480.96;False
901;109;4;2;49592;FARO DER 1;349968.00;False
901;31;25;2;49592;FARO DER 1;914438.00;False
901;12;27;2;64827;FARO DER 2;580241.81;False
901;10;20;2;49592;FARO DER 1;115063.00;False
901;109;4;2;64827;FARO DER 2;144896.00;False
901;109;4;2;65512;FARO DER 3;133824.00;False
901;12;29;2;64827;FARO DER 2;357480.96;False
901;12;30;2;49592;FARO DER 1;603104.83;False
901;12;30;2;64827;FARO DER 2;1088380.76;False
901;33;10;2;49592;FARO DER 1;419844.43;False
901;33;17;1;49101;FARO DER 1;710536.58;False
901;12;33;2;49592;FARO DER 1;653305.78;False
901;33;17;1;49102;FARO DER 2;910829.51;False
901;33;17;2;49592;FARO DER 1;223878.82;False
901;109;6;2;49592;FARO DER 1;163888.00;False
901;33;19;2;49592;FARO DER 1;360440.66;False
901;33;21;1;33562;FARITO DER;211360.52;False
901;9;31;1;49102;FARO DER 2;1396818.91;False
901;9;31;1;49103;FARO DER 3;753385.65;False
901;1;45;1;49102;FARO DER 2;1518713.09;False
901;1;45;1;49104;FARO DER 4;1196793.96;False
901;1;45;1;82705;FARO DER 5;1518713.09;False
901;23;10;2;49592;FARO DER 1;154096.39;False
901;23;10;2;49592;FARO DER 1;154096.39;False
901;23;10;2;49592;FARO DER 1;154096.39;False
901;23;10;2;49592;FARO DER 1;154096.39;False
901;10;37;1;49103;FARO DER 3;723862.00;False
901;25;10;1;49101;FARO DER 1;1025118.00;False
901;25;10;2;49592;FARO DER 1;128304.00;False
901;25;10;2;49592;FARO DER 1;128304.00;False
901;25;10;2;49592;FARO DER 1;128304.00;False
901;25;10;2;49592;FARO DER 1;128304.00;False
901;25;13;2;49592;FARO DER 1;233334.00;False
901;25;18;1;49101;FARO DER 1;693576.00;False
901;25;18;2;49592;FARO DER 1;237654.00;False
901;25;20;1;33562;FARITO DER;160380.00;False
901;25;22;2;49592;FARO DER 1;603144.00;False
901;25;23;2;49592;FARO DER 1;381402.00;False
901;25;24;2;49592;FARO DER 1;388494.00;False
901;25;25;1;33562;FARITO DER;420732.00;False
901;33;23;2;49592;FARO DER 1;257425.97;False
901;25;26;2;49592;FARO DER 1;141120.00;False
901;28;12;1;33562;FARITO DER;564830.00;True
901;28;15;1;33562;FARITO DER;382872.00;True
901;28;23;1;33562;FARITO DER;971222.00;True
901;36;13;2;49592;FARO DER 1;163415.73;False
901;4;53;2;64827;FARO DER 2;1138387.80;False
901;4;59;1;49101;FARO DER 1;1394349.91;False
901;28;35;1;33562;FARITO DER;178304.00;True
901;28;36;1;33562;FARITO DER;178304.00;True
901;25;19;1;49101;FARO DER 1;492678.00;False
901;6;50;1;49101;FARO DER 1;1142916.54;False
901;6;50;1;49103;FARO DER 3;1142916.54;False
901;6;52;1;49102;FARO DER 2;1142916.54;False
901;10;25;2;49592;FARO DER 1;390053.00;False
901;10;27;1;49101;FARO DER 1;552025.00;False
901;10;27;1;49102;FARO DER 2;516521.00;False
901;10;27;2;49592;FARO DER 1;230083.00;False
901;10;27;2;49592;FARO DER 1;230083.00;False
901;10;27;2;49592;FARO DER 1;230083.00;False
901;10;27;2;49592;FARO DER 1;230083.00;False
901;10;27;2;64827;FARO DER 2;195781.00;False
901;10;27;2;64827;FARO DER 2;195781.00;False
901;10;27;2;64827;FARO DER 2;195781.00;False
901;10;27;2;64827;FARO DER 2;195781.00;False
901;10;31;2;65512;FARO DER 3;386459.00;False
901;10;29;2;49592;FARO DER 1;336981.00;False
901;10;30;1;49101;FARO DER 1;310108.00;False
901;10;30;1;49102;FARO DER 2;289234.00;False
901;10;30;1;49103;FARO DER 3;342661.00;False
901;10;30;1;49104;FARO DER 4;293798.00;False
901;10;30;2;49592;FARO DER 1;145081.00;False
901;10;30;2;64827;FARO DER 2;180253.00;False
901;10;30;2;65512;FARO DER 3;384671.00;False
901;29;26;1;49101;FARO DER 1;394351.10;False
901;10;31;1;49102;FARO DER 2;701498.00;False
901;10;31;2;49592;FARO DER 1;224991.00;False
901;10;31;2;64827;FARO DER 2;370772.00;False
901;1;23;2;49592;FARO DER 1;134692.26;False
901;4;47;2;65512;FARO DER 3;598343.87;False
901;12;15;1;33518;FARO DER;1793444.80;False
901;4;49;1;49101;FARO DER 1;304188.33;False
901;12;26;1;33518;FARO DER;1834248.18;False
901;10;9;2;65512;FARO DER 3;167958.00;False
901;4;51;2;49592;FARO DER 1;252422.91;False
901;12;27;1;33518;FARO DER;2231186.62;False
901;4;52;2;49592;FARO DER 1;315328.64;False
901;5;56;2;49592;FARO DER 1;211943.17;False
901;4;54;1;49101;FARO DER 1;591089.70;False
901;4;54;1;49102;FARO DER 2;294870.65;False
901;12;28;2;33748;FARO DER;2599609.31;False
901;4;54;1;49103;FARO DER 3;322476.31;False
901;12;29;1;33518;FARO DER;2353277.76;False
901;4;54;1;49104;FARO DER 4;259428.60;False
901;4;54;1;82705;FARO DER 5;322476.31;False
901;4;54;1;82706;FARO DER 6;269634.11;False
901;4;54;1;91155;FARO DER 7;757874.75;False
901;4;54;2;49592;FARO DER 1;143677.19;False
901;12;31;1;33518;FARO DER;1797717.49;False
901;12;31;2;33748;FARO DER;1643931.76;False
901;12;32;2;33748;FARO DER;1643931.76;False
901;4;54;2;64827;FARO DER 2;147895.15;False
901;4;54;2;65512;FARO DER 3;155264.45;False
901;4;54;2;75179;FARO DER 4;158609.73;False
901;4;55;1;49101;FARO DER 1;499755.17;False
901;12;34;2;33748;FARO DER;2372680.79;False
901;4;55;1;49102;FARO DER 2;178099.60;False
901;4;55;1;49103;FARO DER 3;475514.04;False
901;12;45;2;33748;FARO DER;1519548.10;False
901;4;55;1;49104;FARO DER 4;319061.77;False
901;9;27;2;49592;FARO DER 1;158726.27;False
901;9;28;2;49592;FARO DER 1;897578.11;False
901;9;29;1;33562;FARITO DER;536871.31;False
901;9;29;2;49592;FARO DER 1;215403.47;False
901;9;30;2;49592;FARO DER 1;114546.28;False
901;9;31;1;33562;FARITO DER;504447.97;False
901;9;31;1;49101;FARO DER 1;614874.80;False
901;4;55;1;82705;FARO DER 5;382428.09;False
901;4;55;2;49592;FARO DER 1;161227.77;False
901;9;31;2;49592;FARO DER 1;223642.38;False
901;9;31;2;64827;FARO DER 2;606786.32;False
901;4;60;2;64827;FARO DER 2;1049907.67;False
901;9;32;1;49101;FARO DER 1;538097.89;False
901;1;12;1;33562;FARITO DER;371618.72;False
901;1;12;1;49101;FARO DER 1;935648.35;False
901;1;15;2;49592;FARO DER 1;225268.25;True
901;1;23;2;49592;FARO DER 1;134692.26;False
901;2;30;1;49101;FARO DER 1;264933.94;False
901;1;23;2;49592;FARO DER 1;134692.26;False
901;1;30;2;49592;FARO DER 1;134692.26;False
901;1;30;2;49592;FARO DER 1;134692.26;False
901;1;30;2;49592;FARO DER 1;134692.26;False
901;1;30;2;49592;FARO DER 1;134692.26;False
901;1;34;2;49592;FARO DER 1;371017.00;False
901;1;41;1;49101;FARO DER 1;758372.97;False
901;1;42;1;49101;FARO DER 1;758372.97;False
901;1;43;1;49101;FARO DER 1;674109.30;False
901;1;43;2;64827;FARO DER 2;790958.31;False
901;1;43;2;65512;FARO DER 3;527440.54;False
901;4;56;1;49101;FARO DER 1;499755.17;False
901;4;56;1;49102;FARO DER 2;178099.60;False
901;4;56;1;49104;FARO DER 4;319061.77;False
901;1;45;2;49592;FARO DER 1;518773.49;False
901;1;50;1;33562;FARITO DER;481050.40;False
901;1;51;1;33562;FARITO DER;189471.74;False
901;1;53;1;49101;FARO DER 1;488704.66;False
901;23;10;1;49101;FARO DER 1;73173.55;True
901;4;56;1;82705;FARO DER 5;475514.04;False
901;4;56;2;49592;FARO DER 1;161227.77;False
901;4;57;2;49592;FARO DER 1;201371.08;False
901;4;57;2;64827;FARO DER 2;153397.88;False
901;4;41;2;49592;FARO DER 1;115552.29;False
901;23;9;1;49101;FARO DER 1;290431.00;False
901;23;9;2;49592;FARO DER 1;154096.39;False
