cod_vehiculo;cod_parte;cod_elem_red;elemento;precio;faro_int_ext
101;1;3011;CAPOT;1408601.4;0
101;1;3011;CAPOT 1;2065314.88;0
101;1;6001;FARITO DER;160482.9;0
101;1;6001;FARITO IZQ;160482.9;0
101;1;6002;FARO AUXILIAR DER;464114.29;0
101;1;6002;FARO AUXILIAR DER 1;437635.56;0
101;1;6002;FARO AUXILIAR IZQ;463693.52;0
101;1;6002;FARO AUXILIAR IZQ 1;443616.56;0
101;1;6002;FARO DER;1046766.77;0
101;1;6002;FARO IZQ;1047788.65;0
101;1;6002;FARO DER XENON;2461771.37;0
101;1;6002;FARO IZQ XENON;2463033.69;0
101;1;6002;FARO DER XENON 1;2826801.17;0
101;1;6002;FARO IZQ XENON 1;2825379.96;0
101;1;6002;FARO DER XENON 2;2693363.54;0
101;1;6002;FARO IZQ XENON 2;2691958.01;0
101;1;6003;FRENTE C/MASCARA COMPLETA;1193085.42;0
101;1;6003;FRENTE C/MASCARA COMPLETA 1;1185124.06;0
101;1;6003;FRENTE C/MASCARA COMPLETA 2;1175550.68;0
101;1;6003;FRENTE C/MASCARA COMPLETA 3;1255723.56;0
101;1;7006;GUARDABARRO DER;646878.21;0
101;1;7006;GUARDABARRO IZQ;643997.9;0
101;1;16004;PARABRISAS;1189507.7;0
101;1;16005;PARAGOLPE / CTRO;1755150.83;0
101;1;16005;PARAGOLPE / CTRO 1;1462973.58;0
101;1;16005;PARAGOLPE / CTRO 2;1910094.68;0
101;1;16005;PARAGOLPE / CTRO 3;1869636.5;0
101;1;16005;PARAGOLPE / CTRO 4;2415970.61;0
101;1;16005;PARAGOLPE / CTRO 5;1752979.56;0
101;1;16005;PARAGOLPE ALMA;410371.9;0
101;1;16005;PARAGOLPE ALMA 1;1585460.69;0
101;1;16005;PARAGOLPE REJILLA / TAPA DER;314868.49;0
101;1;16005;PARAGOLPE REJILLA / TAPA DER 1;380850.39;0
101;1;16005;PARAGOLPE REJILLA / TAPA IZQ;314868.49;0
101;1;16005;PARAGOLPE REJILLA / TAPA IZQ 1;380976.72;0
101;1;16005;PARAGOLPE REJILLA CENTRAL;565421.03;0
101;1;16005;PARAGOLPE REJILLA CENTRAL 1;578997.45;0
101;1;18005;REJILLA RADIADOR;1824305.8;0
101;1;18005;REJILLA RADIADOR 1;1733865.71;0
101;1;18005;REJILLA RADIADOR 2;1313158.51;0
101;2;6002;FARO DER;488766.95;2
101;2;6002;FARO DER 1;467575.27;1
101;2;6002;FARO DER 2;831813.39;2
101;2;6002;FARO DER 3;789430.0;1
101;2;6002;FARO IZQ;488766.95;2
101;2;6002;FARO IZQ 1;467575.27;1
101;2;6002;FARO IZQ 2;831813.39;2
101;2;6002;FARO IZQ 3;579313.27;1
101;2;7006;GUARDABARRO DER;4045722.55;0
101;2;7006;GUARDABARRO IZQ;3927863.32;0
101;2;16003;PANEL COLA COMP;1122713.21;0
101;2;16005;PARAGOLPE / CTRO;1919457.89;0
101;2;16005;PARAGOLPE / CTRO 1;1712324.75;0
101;2;16005;PARAGOLPE / CTRO 2;1633592.06;0
101;2;16005;PARAGOLPE / CTRO 3;1712324.75;0
101;2;16005;PARAGOLPE ALMA;372779.93;0
101;2;16005;PARAGOLPE ALMA 1;981619.36;0
101;2;16005;PARAGOLPE EMBELLEC / MOLD;413009.74;0
101;2;16005;PARAGOLPE EMBELLEC / MOLD DER;417208.74;0
101;2;16005;PARAGOLPE EMBELLEC / MOLD DER 1;36003.77;0
101;2;16005;PARAGOLPE EMBELLEC / MOLD DER 2;333666.51;0
101;2;16005;PARAGOLPE EMBELLEC / MOLD IZQ;417208.74;0
101;2;16005;PARAGOLPE EMBELLEC / MOLD IZQ 1;35814.28;0
101;2;16005;PARAGOLPE EMBELLEC / MOLD IZQ 2;403968.6;0
101;2;16005;PARAGOLPE EMBELLEC / MOLD 1;339888.21;0
101;2;20003;TAPA BAUL;3760097.54;0
101;2;20003;TAPA BAUL 1;2309563.74;0
101;3;16024;PUERTA DEL CRISTAL;254270.04;0
101;3;16024;PUERTA DEL ESPEJO ELECTRICO;1418295.83;0
101;3;16024;PUERTA DEL ESPEJO ELECTRICO 1;1854699.41;0
101;3;16024;PUERTA DEL ESPEJO ELECTRICO 2;1418295.83;0
101;3;16024;PUERTA DEL MOLD MEDIA;233171.77;0
101;3;16024;PUERTA TRAS;2607805.88;0
101;3;16024;PUERTA TRAS CRISTAL;609684.75;0
101;3;16024;PUERTA TRAS MOLD MEDIA;211190.53;0
101;3;16024;PUERTA TRAS MOLD SUP;203024.54;0
101;3;16024;PUERTA TRAS 1;2865365.74;0
101;3;26001;ZOCALO;2894569.25;0
101;4;16024;PUERTA DEL;2864707.76;0
101;4;16024;PUERTA DEL CRISTAL;455901.68;0
101;4;16024;PUERTA DEL ESPEJO ELECTRICO;1339024.37;0
101;4;16024;PUERTA DEL ESPEJO ELECTRICO 1;1854699.41;0
101;4;16024;PUERTA DEL ESPEJO ELECTRICO 2;1418295.83;0
101;4;16024;PUERTA DEL MOLD MEDIA;213432.87;0
101;4;16024;PUERTA DEL MOLD SUP;208299.32;0
101;4;16024;PUERTA TRAS;2865365.74;0
101;4;16024;PUERTA TRAS CRISTAL;439183.4;0
101;4;16024;PUERTA TRAS MOLD MEDIA;214285.59;0
101;4;16024;PUERTA TRAS MOLD SUP;208299.32;0
101;4;16024;PUERTA TRAS 1;2865365.74;0
101;4;26001;ZOCALO;2894569.25;0
105;2;20003;TAPA BAUL;2655.69;0
109;1;3011;CAPOT;888449.38;0
109;1;3011;CAPOT 1;785369.62;0
109;1;3011;CAPOT 2;721833.0;0
109;1;3011;CAPOT 3;738930.45;0
109;1;6001;FARITO DER;92722.5;0
109;1;6002;FARO AUXILIAR DER;280154.42;0
109;1;6002;FARO AUXILIAR DER 1;305959.77;0
109;1;6002;FARO AUXILIAR IZQ;280154.42;0
109;1;6002;FARO AUXILIAR IZQ 1;305959.77;0
109;1;6002;FARO DER;465861.01;0
109;1;6002;FARO DER 1;1119816.23;0
109;1;6002;FARO DER 2;357450.26;0
109;1;6002;FARO DER 3;1506583.72;0
109;1;6002;FARO IZQ 1;1119816.23;0
109;1;6002;FARO IZQ 2;352867.56;0
109;1;6002;FARO IZQ 3;1506583.72;0
109;1;6003;FRENTE C/MASCARA COMPLETA;954314.43;0
109;1;6003;FRENTE C/MASCARA COMPLETA 1;860922.8;0
109;1;7006;GUARDABARRO DER;511222.68;0
109;1;7006;GUARDABARRO DER 1;419670.06;0
109;1;7006;GUARDABARRO IZQ;448513.94;0
109;1;7006;GUARDABARRO IZQ;479084.82;0
109;1;7006;GUARDABARRO IZQ 1;419670.06;0
109;1;16004;PARABRISAS;468495.97;0
109;1;16005;PARAGOLPE / CTRO;806200.87;0
109;1;16005;PARAGOLPE / CTRO 1;522122.38;0
109;1;16005;PARAGOLPE / CTRO 2;739180.72;0
109;1;16005;PARAGOLPE / CTRO 3;739180.72;0
109;1;16005;PARAGOLPE / CTRO 4;739180.72;0
109;1;16005;PARAGOLPE / CTRO 5;658926.82;0
109;1;16005;PARAGOLPE ALMA;362286.05;0
109;1;16005;PARAGOLPE ALMA 1;276867.39;0
109;1;16005;PARAGOLPE EMBELLEC / MOLD DER;144438.39;0
109;1;16005;PARAGOLPE EMBELLEC / MOLD DER 1;112190.25;0
109;1;16005;PARAGOLPE EMBELLEC / MOLD IZQ;144438.39;0
109;1;16005;PARAGOLPE EMBELLEC / MOLD IZQ 1;112190.25;0
109;1;16005;PARAGOLPE REJILLA / TAPA DER;94127.81;0
109;1;16005;PARAGOLPE REJILLA / TAPA DER 1;49626.02;0
109;1;16005;PARAGOLPE REJILLA / TAPA IZQ;94127.81;0
109;1;16005;PARAGOLPE REJILLA / TAPA IZQ 1;51425.93;0
109;1;16005;PARAGOLPE REJILLA CENTRAL;134400.32;0
109;1;16005;PARAGOLPE REJILLA CENTRAL 1;91690.83;0
109;1;18005;REJILLA RADIADOR;506318.85;0
109;1;18005;REJILLA RADIADOR MARCO;834168.59;0
109;1;18005;REJILLA RADIADOR 1;465768.62;0
109;1;18005;REJILLA RADIADOR 2;486396.59;0
109;1;18005;REJILLA RADIADOR 3;530364.65;0
109;2;6002;FARO DER;293460.88;0
109;2;6002;FARO DER;409515.11;0
109;2;6002;FARO DER 1;293460.88;0
109;2;6002;FARO DER 1;39904.9;0
109;2;6002;FARO DER 2;357450.26;0
109;2;6002;FARO IZQ;293460.88;0
109;2;6002;FARO IZQ;409515.11;0
109;2;6002;FARO IZQ 1;39904.9;0
109;2;6002;FARO IZQ 1;293460.88;0
109;2;6002;FARO IZQ 2;199208.68;0
109;2;12009;LUNETA CRISTAL;370897.2;0
109;2;16005;PARAGOLPE / CTRO;902152.11;0
109;2;16005;PARAGOLPE / CTRO 1;986501.2;0
109;2;16005;PARAGOLPE / CTRO 1;1015515.94;0
109;2;16005;PARAGOLPE / CTRO 2;1015515.94;0
109;2;16005;PARAGOLPE EMBELLEC / MOLD;186541.42;0
109;2;16005;PARAGOLPE EMBELLEC / MOLD DER;94304.2;0
109;2;16005;PARAGOLPE EMBELLEC / MOLD DER 1;89060.98;0
109;2;16005;PARAGOLPE EMBELLEC / MOLD IZQ;94304.2;0
109;2;16005;PARAGOLPE EMBELLEC / MOLD IZQ 1;89060.98;0
109;2;16005;PARAGOLPE EMBELLEC / MOLD 1;273590.52;0
109;3;16024;PUERTA DEL CRISTAL;121874.53;0
109;3;16024;PUERTA DEL ESPEJO ELECTRICO;496038.64;0
109;3;16024;PUERTA DEL ESPEJO ELECTRICO 1;586194.33;0
109;3;16024;PUERTA DEL ESPEJO ELECTRICO 2;359862.48;0
109;3;16024;PUERTA DEL ESPEJO MANUAL C/ CONTROL;228068.62;0
109;3;16024;PUERTA DEL MANIJA EXT;97157.43;0
109;3;16024;PUERTA DEL MANIJA EXT;284302.3;0
109;3;16024;PUERTA DEL MANIJA EXT 2;182713.98;0
109;3;16024;PUERTA TRAS;996377.32;0
109;3;16024;PUERTA TRAS CRISTAL;94522.04;0
109;3;16024;PUERTA TRAS MANIJA EXT;97157.43;0
109;3;16024;PUERTA TRAS MANIJA EXT;88378.57;0
109;3;16024;PUERTA TRAS MANIJA EXT 2;171274.21;0
109;3;26001;ZOCALO;218483.38;0
109;4;16024;PUERTA DEL;1091508.15;0
109;4;16024;PUERTA DEL CRISTAL;121874.53;0
109;4;16024;PUERTA DEL ESPEJO ELECTRICO;496038.64;0
109;4;16024;PUERTA DEL ESPEJO ELECTRICO;215.07;0
109;4;16024;PUERTA DEL ESPEJO ELECTRICO 1;565677.53;0
109;4;16024;PUERTA DEL ESPEJO ELECTRICO 2;359862.48;0
109;4;16024;PUERTA DEL ESPEJO MANUAL C/ CONTROL;359862.48;0
109;4;16024;PUERTA DEL MANIJA EXT;294613.79;0
109;4;16024;PUERTA DEL MANIJA EXT 2;182713.98;0
109;4;16024;PUERTA TRAS CRISTAL;94522.04;0
109;4;16024;PUERTA TRAS MANIJA EXT;97157.43;0
109;4;16024;PUERTA TRAS MANIJA EXT 2;177486.23;0
109;4;26001;ZOCALO;218483.38;0
109;17;16003;PANEL COLA COMP;820978.18;0
109;17;16003;PANEL COLA INF;820978.18;0
109;17;16003;PANEL COLA SUP;820978.18;0
113;2;6002;FARO IZQ;224794.31;0
485;3;16024;PUERTA DEL MANIJA EXT;127592.25;0
487;3;16024;PUERTA DEL MANIJA EXT;127592.25;0
540;3;16024;PUERTA DEL MANIJA EXT;127592.25;0
541;3;16024;PUERTA DEL MANIJA EXT;127592.25;0
542;3;16024;PUERTA DEL MANIJA EXT;127592.25;0
543;3;16024;PUERTA DEL MANIJA EXT;127592.25;0
544;3;16024;PUERTA DEL MANIJA EXT;127592.25;0
545;3;16024;PUERTA DEL MANIJA EXT;127592.25;0
547;3;16024;PUERTA DEL MANIJA EXT;127592.25;0
548;3;16024;PUERTA DEL MANIJA EXT;127592.25;0
559;1;3011;CAPOT;879549.02;0
559;1;6002;FARO AUXILIAR DER;120326.1;0
559;1;6002;FARO AUXILIAR IZQ;138900.54;0
559;1;6002;FARO DER;165556.19;0
559;1;6002;FARO DER 1;159213.43;0
559;1;6002;FARO DER 2;165556.19;0
559;1;6002;FARO IZQ;557419.21;0
559;1;6002;FARO IZQ 1;197230.76;0
559;1;6002;FARO IZQ 2;146821.68;0
559;1;7006;GUARDABARRO DER;147878.8;0
559;1;7006;GUARDABARRO IZQ;271897.61;0
559;1;16004;PARABRISAS;239965.36;0
559;1;16005;PARAGOLPE / CTRO;76171.09;0
559;1;16005;PARAGOLPE / CTRO 1;66891.96;0
559;1;16005;PARAGOLPE ALMA;132726.8;0
559;1;16005;PARAGOLPE REJILLA / TAPA DER;31268.9;0
559;1;16005;PARAGOLPE REJILLA CENTRAL;67949.08;0
559;1;16005;PARAGOLPE REJILLA / TAPA DER MOLD EMBELLECEDOR;9152.12;0
559;1;16005;PARAGOLPE REJILLA / TAPA IZQ MOLD EMBELLECEDOR;3204.28;0
559;1;16005;PARAGOLPE REJILLA / TAPA DER MOLD EMBELLECEDOR 1;66976.56;0
559;1;16005;PARAGOLPE REJILLA / TAPA IZQ MOLD EMBELLECEDOR 1;66976.56;0
559;1;18005;REJILLA RADIADOR;56617.08;0
559;1;18005;REJILLA RADIADOR MARCO;137049.66;0
559;1;18005;REJILLA RADIADOR 1;46970.01;0
559;1;18005;REJILLA RADIADOR 2;37744.72;0
559;1;18005;REJILLA RADIADOR 3;37343.04;0
559;1;18005;REJILLA RADIADOR MARCO 1;93646.28;0
559;2;6002;FARO DER;135017.22;0
