COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;ID_ELEM;DESC_ELEM;VALOR;VIEJO
901;1;8;2;33661;PARAGOLPE / CTRO;121016.12;True
901;1;8;2;33661;PARAGOLPE / CTRO;694125.86;False
901;1;12;2;33661;PARAGOLPE / CTRO;982359.90;False
901;1;12;2;49541;PARAGOLPE / CTRO 1;982359.90;False
901;1;12;2;49542;PARAGOLPE / CTRO 2;772837.61;False
901;1;15;2;33661;PARAGOLPE / CTRO;51399.33;True
901;1;15;2;33661;PARAGOLPE / CTRO;694125.86;False
901;1;23;2;49542;PARAGOLPE / CTRO 2;30246.54;True
901;1;23;2;49542;PARAGOLPE / CTRO 2;658831.32;False
901;1;23;2;49543;PARAGOLPE / CTRO 3;19188.61;True
901;1;23;2;49543;PARAGOLPE / CTRO 3;324758.16;False
901;1;30;2;49542;PARAGOLPE / CTRO 2;29215.22;True
901;1;30;2;49542;PARAGOLPE / CTRO 2;658831.32;False
901;1;30;2;49543;PARAGOLPE / CTRO 3;29215.22;True
901;1;30;2;49543;PARAGOLPE / CTRO 3;324758.16;False
901;1;37;2;33661;PARAGOLPE / CTRO;441344.70;False
901;1;38;2;33661;PARAGOLPE / CTRO;441344.70;False
901;1;40;2;33661;PARAGOLPE / CTRO;756552.85;False
901;1;41;2;33661;PARAGOLPE / CTRO;613178.51;False
901;1;42;2;33661;PARAGOLPE / CTRO;613178.51;False
901;1;43;2;33661;PARAGOLPE / CTRO;859597.52;False
901;1;43;2;49541;PARAGOLPE / CTRO 1;724008.38;False
901;1;43;2;49542;PARAGOLPE / CTRO 2;1014794.73;False
901;1;43;2;49543;PARAGOLPE / CTRO 3;750518.87;False
901;1;43;2;49544;PARAGOLPE / CTRO 4;757784.57;False
901;1;43;2;49545;PARAGOLPE / CTRO 5;1210987.26;False
901;1;44;2;33661;PARAGOLPE / CTRO;1078313.72;False
901;1;45;2;33661;PARAGOLPE / CTRO;814317.30;False
901;1;45;2;38324;PARAGOLPE / CTRO;998670.47;False
901;1;45;2;49541;PARAGOLPE / CTRO 1;714618.86;False
901;1;45;2;49542;PARAGOLPE / CTRO 2;998670.47;False
901;1;45;2;49543;PARAGOLPE / CTRO 3;998670.47;False
901;1;45;2;49544;PARAGOLPE / CTRO 4;818033.99;False
901;1;47;2;33661;PARAGOLPE / CTRO;100089.68;False
901;1;48;2;33661;PARAGOLPE / CTRO;982359.90;False
901;1;48;2;49541;PARAGOLPE / CTRO 1;982359.90;False
901;1;48;2;49542;PARAGOLPE / CTRO 2;928053.45;False
901;1;48;2;49543;PARAGOLPE / CTRO 3;832323.20;False
901;1;49;2;33661;PARAGOLPE / CTRO;866248.43;False
901;1;50;2;33661;PARAGOLPE / CTRO;1426126.50;False
901;1;51;2;33661;PARAGOLPE / CTRO;567739.94;False
901;1;51;2;49541;PARAGOLPE / CTRO 1;1374064.97;False
901;1;53;2;33661;PARAGOLPE / CTRO;650252.21;False
901;2;1;2;33661;PARAGOLPE / CTRO;177727.28;True
901;2;1;2;33661;PARAGOLPE / CTRO;93617.06;False
901;2;12;2;33661;PARAGOLPE / CTRO;92969.43;True
901;2;12;2;33661;PARAGOLPE / CTRO;98879.28;False
901;2;22;2;49541;PARAGOLPE / CTRO 1;95041.32;True
901;2;22;2;49541;PARAGOLPE / CTRO 1;39570.71;False
901;2;22;2;49542;PARAGOLPE / CTRO 2;61371.58;True
901;2;22;2;49542;PARAGOLPE / CTRO 2;228803.44;False
901;2;26;2;33661;PARAGOLPE / CTRO;84159.08;True
901;2;26;2;33661;PARAGOLPE / CTRO;15507.98;False
901;2;26;2;49541;PARAGOLPE / CTRO 1;119752.06;True
901;2;26;2;49541;PARAGOLPE / CTRO 1;31634.30;False
901;2;27;2;33661;PARAGOLPE / CTRO;52427.35;True
901;2;27;2;33661;PARAGOLPE / CTRO;15507.98;False
901;2;30;2;49541;PARAGOLPE / CTRO 1;150075.95;True
901;2;30;2;49541;PARAGOLPE / CTRO 1;18130.73;False
901;2;30;2;49542;PARAGOLPE / CTRO 2;31395.18;True
901;2;30;2;49542;PARAGOLPE / CTRO 2;173907.99;False
901;2;30;2;49543;PARAGOLPE / CTRO 3;173907.99;False
901;2;33;2;33661;PARAGOLPE / CTRO;396841.14;True
901;2;33;2;33661;PARAGOLPE / CTRO;139096.05;False
901;2;35;2;33661;PARAGOLPE / CTRO;197969.57;False
901;2;35;2;33661;PARAGOLPE / CTRO;60876.18;True
901;2;36;2;33661;PARAGOLPE / CTRO;92175.95;True
901;2;36;2;33661;PARAGOLPE / CTRO;18608.26;False
901;2;36;2;49541;PARAGOLPE / CTRO 1;81568.18;True
901;2;36;2;49541;PARAGOLPE / CTRO 1;18130.73;False
