COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;ID_ELEM;DESC_ELEM;VALOR;VIEJO
901;1;8;3;33832;PUERTA DEL CRISTAL;59050.74;False
901;1;8;3;33863;PUERTA TRAS CRISTAL;51669.39;False
901;1;9;3;33832;PUERTA DEL CRISTAL;33760.87;False
901;1;10;3;33832;PUERTA DEL CRISTAL;40500.90;False
901;1;12;3;33863;PUERTA TRAS CRISTAL;119585.60;False
901;1;16;3;33832;PUERTA DEL CRISTAL;35217.73;False
901;1;22;3;33832;PUERTA DEL CRISTAL;37563.93;False
901;1;22;3;33863;PUERTA TRAS CRISTAL;28669.01;False
901;1;23;3;33832;PUERTA DEL CRISTAL;48289.19;False
901;1;23;3;33863;PUERTA TRAS CRISTAL;38439.75;False
901;1;27;3;33832;PUERTA DEL CRISTAL;37563.93;False
901;1;29;3;33832;PUERTA DEL CRISTAL;41844.77;False
901;1;30;3;33832;PUERTA DEL CRISTAL;48825.74;False
901;1;31;3;33863;PUERTA TRAS CRISTAL;28669.01;False
901;1;35;3;33832;PUERTA DEL CRISTAL;59050.74;False
901;1;35;3;33863;PUERTA TRAS CRISTAL;51669.39;False
901;1;37;3;33832;PUERTA DEL CRISTAL;302312.00;False
901;1;37;3;33863;PUERTA TRAS CRISTAL;255311.04;False
901;1;40;3;33832;PUERTA DEL CRISTAL;302312.00;False
901;1;40;3;33863;PUERTA TRAS CRISTAL;255311.04;False
901;1;41;3;33832;PUERTA DEL CRISTAL;106084.48;False
901;1;42;3;33832;PUERTA DEL CRISTAL;105568.64;False
901;1;42;3;33863;PUERTA TRAS CRISTAL;128216.00;False
901;1;44;3;33863;PUERTA TRAS CRISTAL;115508.48;False
901;1;45;3;33832;PUERTA DEL CRISTAL;172737.36;False
901;1;48;3;33863;PUERTA TRAS CRISTAL;119585.60;False
901;1;50;3;33832;PUERTA DEL CRISTAL;570042.88;False
901;1;51;3;33832;PUERTA DEL CRISTAL;105112.32;False
901;1;51;3;33863;PUERTA TRAS CRISTAL;101064.96;False
901;1;53;3;33832;PUERTA DEL CRISTAL;54608.32;True
901;2;1;3;33832;PUERTA DEL CRISTAL;32326.06;False
901;2;1;3;33863;PUERTA TRAS CRISTAL;58503.98;False
901;2;9;3;33832;PUERTA DEL CRISTAL;64037.63;False
901;2;9;3;33863;PUERTA TRAS CRISTAL;4143.96;False
901;2;12;3;33832;PUERTA DEL CRISTAL;32326.06;False
901;2;12;3;33832;PUERTA DEL CRISTAL;32326.06;False
901;2;12;3;33832;PUERTA DEL CRISTAL;32326.06;False
901;2;12;3;33832;PUERTA DEL CRISTAL;32326.06;False
901;2;12;3;33863;PUERTA TRAS CRISTAL;58503.98;False
901;2;13;3;33832;PUERTA DEL CRISTAL;5449.71;False
901;2;13;3;33863;PUERTA TRAS CRISTAL;4143.96;False
901;2;14;3;33832;PUERTA DEL CRISTAL;32799.04;False
901;2;15;3;33832;PUERTA DEL CRISTAL;32799.04;False
901;2;15;3;33863;PUERTA TRAS CRISTAL;25623.65;False
901;2;16;3;33863;PUERTA TRAS CRISTAL;26795.04;False
901;2;18;3;33832;PUERTA DEL CRISTAL;32699.70;False
901;2;22;3;33832;PUERTA DEL CRISTAL;194183.03;False
901;2;22;3;33863;PUERTA TRAS CRISTAL;150602.98;False
901;2;23;3;33832;PUERTA DEL CRISTAL;3596.93;False
901;2;23;3;33863;PUERTA TRAS CRISTAL;1342.80;False
901;2;23;3;33863;PUERTA TRAS CRISTAL;1342.80;False
901;2;23;3;33863;PUERTA TRAS CRISTAL;1342.80;False
901;2;23;3;33863;PUERTA TRAS CRISTAL;1342.80;False
901;2;26;3;33832;PUERTA DEL CRISTAL;3372.60;False
901;2;27;3;33832;PUERTA DEL CRISTAL;35691.79;False
901;2;28;3;33832;PUERTA DEL CRISTAL;32329.36;False
901;2;29;3;33832;PUERTA DEL CRISTAL;5449.71;False
901;2;29;3;33863;PUERTA TRAS CRISTAL;4143.96;False
901;2;30;3;33832;PUERTA DEL CRISTAL;194183.03;False
901;2;30;3;33863;PUERTA TRAS CRISTAL;150602.98;False
901;2;31;3;33832;PUERTA DEL CRISTAL;194183.03;False
901;2;31;3;33863;PUERTA TRAS CRISTAL;176205.49;False
901;2;32;3;33832;PUERTA DEL CRISTAL;194183.03;False
901;2;32;3;33832;PUERTA DEL CRISTAL;194183.03;False
901;2;32;3;33832;PUERTA DEL CRISTAL;194183.03;False
901;2;32;3;33832;PUERTA DEL CRISTAL;194183.03;False
901;2;32;3;33863;PUERTA TRAS CRISTAL;176205.49;False
901;2;32;3;33863;PUERTA TRAS CRISTAL;176205.49;False
901;2;32;3;33863;PUERTA TRAS CRISTAL;176205.49;False
901;2;32;3;33863;PUERTA TRAS CRISTAL;176205.49;False
