COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;ID_ELEM;DESC_ELEM;VALOR;VIEJO
901;1;8;3;33832;PUERTA DEL CRISTAL;155265.32;False
901;1;8;3;33863;PUERTA TRAS CRISTAL;51669.39;True
901;1;9;3;33832;PUERTA DEL CRISTAL;33760.87;True
901;1;10;3;33832;PUERTA DEL CRISTAL;40500.90;True
901;1;12;3;33863;PUERTA TRAS CRISTAL;127539.37;False
901;1;16;3;33832;PUERTA DEL CRISTAL;35217.73;True
901;1;22;3;33832;PUERTA DEL CRISTAL;37563.93;True
901;1;22;3;33863;PUERTA TRAS CRISTAL;28669.01;True
901;1;23;3;33832;PUERTA DEL CRISTAL;48289.19;True
901;1;23;3;33863;PUERTA TRAS CRISTAL;38439.75;True
901;1;27;3;33832;PUERTA DEL CRISTAL;37563.93;True
901;1;29;3;33832;PUERTA DEL CRISTAL;41844.77;True
901;1;30;3;33832;PUERTA DEL CRISTAL;48825.74;True
901;1;31;3;33863;PUERTA TRAS CRISTAL;28669.01;True
901;1;35;3;33832;PUERTA DEL CRISTAL;155265.32;False
901;1;35;3;33863;PUERTA TRAS CRISTAL;51669.39;True
901;1;37;3;33832;PUERTA DEL CRISTAL;232105.81;False
901;1;37;3;33863;PUERTA TRAS CRISTAL;217803.93;False
901;1;40;3;33832;PUERTA DEL CRISTAL;232105.81;False
901;1;40;3;33863;PUERTA TRAS CRISTAL;174255.99;False
901;1;41;3;33832;PUERTA DEL CRISTAL;113141.15;False
901;1;42;3;33832;PUERTA DEL CRISTAL;112584.49;False
901;1;42;3;33863;PUERTA TRAS CRISTAL;136734.97;False
901;1;44;3;33863;PUERTA TRAS CRISTAL;109769.07;False
901;1;45;3;33832;PUERTA DEL CRISTAL;172737.36;True
901;1;48;3;33863;PUERTA TRAS CRISTAL;127539.37;False
901;1;50;3;33832;PUERTA DEL CRISTAL;607829.90;False
901;1;51;3;33832;PUERTA DEL CRISTAL;112102.76;False
901;1;51;3;33863;PUERTA TRAS CRISTAL;107777.94;False
901;1;53;3;33832;PUERTA DEL CRISTAL;54608.32;True
901;2;1;3;33832;PUERTA DEL CRISTAL;48973.98;False
901;2;1;3;33863;PUERTA TRAS CRISTAL;94964.50;False
901;2;9;3;33832;PUERTA DEL CRISTAL;70613.71;False
901;2;9;3;33863;PUERTA TRAS CRISTAL;6278.10;False
901;2;12;3;33832;PUERTA DEL CRISTAL;48973.98;False
901;2;12;3;33832;PUERTA DEL CRISTAL;48973.98;False
901;2;12;3;33832;PUERTA DEL CRISTAL;48973.98;False
901;2;12;3;33832;PUERTA DEL CRISTAL;48973.98;False
901;2;12;3;33863;PUERTA TRAS CRISTAL;94964.50;False
901;2;13;3;33832;PUERTA DEL CRISTAL;8256.31;False
901;2;13;3;33863;PUERTA TRAS CRISTAL;6278.10;False
901;2;14;3;33832;PUERTA DEL CRISTAL;32799.04;True
901;2;15;3;33832;PUERTA DEL CRISTAL;32799.04;True
901;2;15;3;33863;PUERTA TRAS CRISTAL;25623.65;True
901;2;16;3;33863;PUERTA TRAS CRISTAL;26795.04;True
901;2;18;3;33832;PUERTA DEL CRISTAL;32699.70;True
901;2;22;3;33832;PUERTA DEL CRISTAL;210521.94;False
901;2;22;3;33863;PUERTA TRAS CRISTAL;163274.98;False
901;2;23;3;33832;PUERTA DEL CRISTAL;5838.59;False
901;2;23;3;33863;PUERTA TRAS CRISTAL;2034.34;False
901;2;23;3;33863;PUERTA TRAS CRISTAL;2034.34;False
901;2;23;3;33863;PUERTA TRAS CRISTAL;2034.34;False
901;2;23;3;33863;PUERTA TRAS CRISTAL;2034.34;False
901;2;26;3;33832;PUERTA DEL CRISTAL;5109.50;False
901;2;27;3;33832;PUERTA DEL CRISTAL;35691.79;True
901;2;28;3;33832;PUERTA DEL CRISTAL;48978.98;False
901;2;29;3;33832;PUERTA DEL CRISTAL;8256.31;False
901;2;29;3;33863;PUERTA TRAS CRISTAL;6278.10;False
901;2;30;3;33832;PUERTA DEL CRISTAL;43974.70;False
901;2;30;3;33863;PUERTA TRAS CRISTAL;163274.98;False
901;2;31;3;33832;PUERTA DEL CRISTAL;210521.94;False
901;2;31;3;33863;PUERTA TRAS CRISTAL;191031.73;False
901;2;32;3;33832;PUERTA DEL CRISTAL;210521.94;False
901;2;32;3;33832;PUERTA DEL CRISTAL;210521.94;False
901;2;32;3;33832;PUERTA DEL CRISTAL;210521.94;False
901;2;32;3;33832;PUERTA DEL CRISTAL;210521.94;False
901;2;32;3;33863;PUERTA TRAS CRISTAL;191031.73;False
901;2;32;3;33863;PUERTA TRAS CRISTAL;191031.73;False
901;2;32;3;33863;PUERTA TRAS CRISTAL;191031.73;False
901;2;32;3;33863;PUERTA TRAS CRISTAL;191031.73;False
901;2;33;3;33863;PUERTA TRAS CRISTAL;32721.16;False
901;2;34;3;33832;PUERTA DEL CRISTAL;48978.98;False
901;2;36;3;33832;PUERTA DEL CRISTAL;90989.24;False
901;2;37;3;33832;PUERTA DEL CRISTAL;16919.87;False
