SEG;COD_CLASE;COD_PARTE;DESC_ELEM;VALOR_MO_MEAN;VALOR_MO_STD;RATIO_MO_MEAN;RATIO_MO_STD;CANT_HS_PINT_MEAN;CANT_HS_PINT_STD;RATIO_HS_PINT_MEAN;RATIO_HS_PINT_STD;VALOR_MAT_PINT_MEAN;VALOR_MAT_PINT_STD;ORIG_MAT_PINT_MEAN;ORIG_MAT_PINT_STD
0;901;1;CAPOT;15169.93;4269.26;2.39;0.67;21144.41;7937.45;3.33;1.25;8553.50;2945.29;5249.39;1454.21
0;901;1;GUARDABARRO;14011.05;8219.84;2.21;1.29;11903.49;4934.79;1.87;0.78;4663.78;1705.37;2915.66;953.21
0;901;1;FRENTE;19111.73;6436.42;3.01;1.01;5223.73;3015.37;0.82;0.47;2074.59;1072.65;1297.58;645.65
0;901;1;PARAGOLPE_ALMA;20409.76;2894.88;3.21;0.46;20017.61;8155.37;3.15;1.28;9964.63;3359.24;6195.88;1880.42
0;901;1;PARAGOLPE_CTRO;22652.81;5347.03;3.57;0.84;14281.85;4310.71;2.25;0.68;5500.27;1321.56;3428.60;555.30
1;901;1;CAPOT;15886.52;4676.95;2.50;0.74;24106.01;11426.31;3.80;1.80;9338.20;3801.57;5776.15;2024.47
1;901;1;GUARDABARRO;13384.66;7985.83;2.11;1.26;9862.12;3531.48;1.55;0.56;3937.10;1234.95;2430.59;612.31
1;901;1;FRENTE;19280.96;6271.83;3.04;0.99;4961.43;2371.21;0.78;0.37;1947.13;799.03;1213.70;483.86
1;901;1;PARAGOLPE_ALMA;20452.68;2872.96;3.22;0.45;19266.85;6756.23;3.03;1.06;9858.90;2864.29;6030.99;1424.91
1;901;1;PARAGOLPE_CTRO;21442.83;6580.06;3.38;1.04;16106.25;4988.02;2.54;0.79;6135.37;1635.86;3792.04;769.76
2;901;1;CAPOT;15773.66;4467.85;2.48;0.70;30268.97;10975.28;4.77;1.73;11911.57;3531.20;7311.47;1761.12
2;901;1;GUARDABARRO;13344.47;7700.97;2.10;1.21;13032.88;4732.45;2.05;0.75;5347.71;1557.84;3229.79;819.58
2;901;1;FRENTE;18386.60;5691.62;2.90;0.90;4154.33;1003.44;0.65;0.16;1710.65;308.95;1068.34;80.36
2;901;1;PARAGOLPE_ALMA;20966.61;2875.38;3.30;0.45;22411.50;8468.77;3.53;1.33;10762.94;3286.81;6624.46;1776.21
2;901;1;PARAGOLPE_CTRO;23286.36;4434.29;3.67;0.70;15268.35;4522.08;2.40;0.71;6424.62;1240.37;3794.71;491.24
3;901;1;CAPOT;15773.66;4467.85;2.48;0.70;30268.97;10975.28;4.77;1.73;11911.57;3531.20;7311.47;1761.12
3;901;1;GUARDABARRO;18540.70;9800.24;2.92;1.54;9243.79;2051.87;1.46;0.32;3357.27;640.80;2080.90;143.76
3;901;1;FRENTE;18233.57;5607.09;2.87;0.88;4132.04;1022.60;0.65;0.16;1661.73;364.28;1055.85;80.35
3;901;1;PARAGOLPE_CTRO;20091.62;2569.42;3.16;0.40;10341.43;2919.23;1.63;0.46;5224.57;939.74;3316.57;167.54
3;901;1;PORTON;24323.26;4262.65;3.83;0.67;14994.28;3798.93;2.36;0.60;5721.00;1128.58;3458.00;367.43
0;907;1;CAPOT;15169.93;4269.26;2.39;0.67;21144.41;7937.45;3.33;1.25;8553.50;2945.29;5249.39;1454.21
0;907;1;GUARDABARRO;14011.05;8219.84;2.21;1.29;11903.49;4934.79;1.87;0.78;4663.78;1705.37;2915.66;953.21
0;907;1;FRENTE;19111.73;6436.42;3.01;1.01;5223.73;3015.37;0.82;0.47;2074.59;1072.65;1297.58;645.65
0;907;1;PARAGOLPE_ALMA;20409.76;2894.88;3.21;0.46;20017.61;8155.37;3.15;1.28;9964.63;3359.24;6195.88;1880.42
0;907;1;PARAGOLPE_CTRO;22652.81;5347.03;3.57;0.84;14281.85;4310.71;2.25;0.68;5500.27;1321.56;3428.60;555.30
1;907;1;CAPOT;15886.52;4676.95;2.50;0.74;24106.01;11426.31;3.80;1.80;9338.20;3801.57;5776.15;2024.47
1;907;1;GUARDABARRO;13384.66;7985.83;2.11;1.26;9862.12;3531.48;1.55;0.56;3937.10;1234.95;2430.59;612.31
1;907;1;FRENTE;19280.96;6271.83;3.04;0.99;4961.43;2371.21;0.78;0.37;1947.13;799.03;1213.70;483.86
1;907;1;PARAGOLPE_ALMA;20452.68;2872.96;3.22;0.45;19266.85;6756.23;3.03;1.06;9858.90;2864.29;6030.99;1424.91
1;907;1;PARAGOLPE_CTRO;21442.83;6580.06;3.38;1.04;16106.25;4988.02;2.54;0.79;6135.37;1635.86;3792.04;769.76
2;907;1;CAPOT;15773.66;4467.85;2.48;0.70;30268.97;10975.28;4.77;1.73;11911.57;3531.20;7311.47;1761.12
2;907;1;GUARDABARRO;13344.47;7700.97;2.10;1.21;13032.88;4732.45;2.05;0.75;5347.71;1557.84;3229.79;819.58
2;907;1;FRENTE;18386.60;5691.62;2.90;0.90;4154.33;1003.44;0.65;0.16;1710.65;308.95;1068.34;80.36
2;907;1;PARAGOLPE_ALMA;20966.61;2875.38;3.30;0.45;22411.50;8468.77;3.53;1.33;10762.94;3286.81;6624.46;1776.21
2;907;1;PARAGOLPE_CTRO;23286.36;4434.29;3.67;0.70;15268.35;4522.08;2.40;0.71;6424.62;1240.37;3794.71;491.24
3;907;1;CAPOT;15773.66;4467.85;2.48;0.70;30268.97;10975.28;4.77;1.73;11911.57;3531.20;7311.47;1761.12
