SEG;COD_CLASE;COD_PARTE;DESC_ELEM;VALOR_MO_MEAN;VALOR_MO_STD;RATIO_MO_MEAN;RATIO_MO_STD;CANT_HS_PINT_MEAN;CANT_HS_PINT_STD;RATIO_HS_PINT_MEAN;RATIO_HS_PINT_STD;VALOR_MAT_PINT_MEAN;VALOR_MAT_PINT_STD;ORIG_MAT_PINT_MEAN;ORIG_MAT_PINT_STD
0;901;3;PUERTA_DEL_PANEL;15945.86;4816.98;2.51;0.76;16937.44;5669.05;2.67;0.89;6798.72;1749.07;4260.79;754.79
0;901;3;PUERTA_TRA_PANEL;15408.21;4710.94;2.43;0.74;14508.14;4469.78;2.28;0.70;5660.69;1360.36;3504.39;593.23
0;901;3;ZOCALO;12705.13;7052.01;2.00;1.11;6870.58;2680.47;1.08;0.42;2886.43;946.96;1805.96;496.73
1;901;3;PUERTA_DEL_PANEL;15517.23;4865.96;2.44;0.77;17162.12;5705.71;2.70;0.90;6990.66;1694.07;4351.53;744.91
1;901;3;PUERTA_TRA_PANEL;14907.01;4759.70;2.35;0.75;15144.80;4472.56;2.39;0.70;5879.45;1415.99;3641.50;554.33
1;901;3;ZOCALO;13222.54;7982.48;2.08;1.26;7039.30;3090.86;1.11;0.49;2862.83;1125.32;1797.95;600.29
2;901;3;PUERTA_DEL_PANEL;15752.10;4460.93;2.48;0.70;17419.48;5215.22;2.74;0.82;7211.55;1359.00;4467.85;472.95
2;901;3;PUERTA_TRA_PANEL;15631.38;4392.91;2.46;0.69;17375.44;4959.47;2.74;0.78;6849.91;1473.53;4183.95;650.73
2;901;3;ZOCALO;12519.80;7056.16;1.97;1.11;9626.26;3544.97;1.52;0.56;4120.72;1096.69;2554.04;582.84
3;901;3;PUERTA_DEL_PANEL;15533.08;4309.46;2.45;0.68;13000.40;3675.16;2.05;0.58;5487.71;1109.73;3340.92;217.01
3;901;3;PUERTA_TRA_PANEL;14865.51;4096.45;2.34;0.65;11172.74;3050.57;1.76;0.48;4590.21;798.66;2757.38;188.18
3;901;3;ZOCALO;14657.92;7366.47;2.31;1.16;7598.83;2181.03;1.20;0.34;2965.54;557.09;1878.54;135.67
0;907;3;PUERTA_DEL_PANEL;15945.86;4816.98;2.51;0.76;16937.44;5669.05;2.67;0.89;6798.72;1749.07;4260.79;754.79
0;907;3;PUERTA_TRA_PANEL;15408.21;4710.94;2.43;0.74;14508.14;4469.78;2.28;0.70;5660.69;1360.36;3504.39;593.23
0;907;3;ZOCALO;12705.13;7052.01;2.00;1.11;6870.58;2680.47;1.08;0.42;2886.43;946.96;1805.96;496.73
1;907;3;PUERTA_DEL_PANEL;15517.23;4865.96;2.44;0.77;17162.12;5705.71;2.70;0.90;6990.66;1694.07;4351.53;744.91
1;907;3;PUERTA_TRA_PANEL;14907.01;4759.70;2.35;0.75;15144.80;4472.56;2.39;0.70;5879.45;1415.99;3641.50;554.33
1;907;3;ZOCALO;13222.54;7982.48;2.08;1.26;7039.30;3090.86;1.11;0.49;2862.83;1125.32;1797.95;600.29
2;907;3;PUERTA_DEL_PANEL;15752.10;4460.93;2.48;0.70;17419.48;5215.22;2.74;0.82;7211.55;1359.00;4467.85;472.95
2;907;3;PUERTA_TRA_PANEL;15631.38;4392.91;2.46;0.69;17375.44;4959.47;2.74;0.78;6849.91;1473.53;4183.95;650.73
2;907;3;ZOCALO;12519.80;7056.16;1.97;1.11;9626.26;3544.97;1.52;0.56;4120.72;1096.69;2554.04;582.84
3;907;3;PUERTA_DEL_PANEL;15533.08;4309.46;2.45;0.68;13000.40;3675.16;2.05;0.58;5487.71;1109.73;3340.92;217.01
3;907;3;PUERTA_TRA_PANEL;14865.51;4096.45;2.34;0.65;11172.74;3050.57;1.76;0.48;4590.21;798.66;2757.38;188.18
3;907;3;ZOCALO;14657.92;7366.47;2.31;1.16;7598.83;2181.03;1.20;0.34;2965.54;557.09;1878.54;135.67
