SEG;COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;ID_ELEM;DESC_ELEM;PRECIO_MEAN;FECHA;VIEJO
0;901;1;8;2;33724;GUARDABARRO;58618.87;2024-06-12;True
0;901;1;8;2;33724;GUARDABARRO;1335288.00;2024-08-05;False
0;901;1;8;2;33713;LUNETA;348231.04;2024-08-05;False
0;901;1;8;2;33676;PANELCOLA;728608.95;2024-08-05;False
0;901;1;8;2;33661;PARAGOLPE;121016.12;2024-06-12;True
0;901;1;8;2;33661;PARAGOLPE;704543.59;2024-08-05;False
0;901;1;8;2;33690;PORTON;124478.69;2024-06-12;True
0;901;1;8;2;33690;PORTON;1043568.77;2024-07-02;False
0;901;1;8;3;33858;PANELCOLA;49422.41;2024-06-12;True
0;901;1;8;3;33858;PANELCOLA;511030.56;2024-08-05;False
0;901;1;8;3;33826;PUERTA_DEL;1245976.47;2024-08-05;False
0;901;1;8;3;33873;PUERTA_TRA;27848.72;2024-05-03;False
0;901;1;8;3;33892;ZOCALO;1374064.97;2024-07-02;False
0;901;1;8;4;33973;PANELCOLA;39538.00;2024-06-12;True
0;901;1;8;4;33973;PANELCOLA;308964.52;2024-08-05;False
0;901;1;8;4;33941;PUERTA_DEL;1236235.28;2024-08-05;False
0;901;1;8;4;33972;PUERTA_TRA;1030331.23;2024-08-05;False
0;901;1;10;2;33714;LUNETA;73072.54;2024-07-01;False
0;901;1;15;2;33676;PANELCOLA;728608.95;2024-08-05;False
0;901;1;15;2;33661;PARAGOLPE;51399.33;2024-06-12;True
0;901;1;15;2;33661;PARAGOLPE;704543.59;2024-08-05;False
0;901;1;15;2;33690;PORTON;1043568.77;2024-07-02;False
0;901;1;15;3;33892;ZOCALO;1374064.97;2024-07-02;False
0;901;1;19;2;33676;PANELCOLA;610196.44;2024-08-05;False
0;901;1;19;2;33690;PORTON;987349.29;2024-08-05;False
0;901;1;19;3;33826;PUERTA_DEL;1686942.13;2024-08-05;False
0;901;1;19;3;33892;ZOCALO;1156768.67;2024-08-05;False
0;901;1;19;4;33942;PANELCOLA;286153.35;2024-08-05;False
0;901;1;19;4;33941;PUERTA_DEL;68894.50;2024-06-12;True
0;901;1;19;4;33941;PUERTA_DEL;631404.51;2024-08-05;False
0;901;1;19;4;34007;ZOCALO;1125385.63;2024-08-05;False
0;901;1;21;2;33676;PANELCOLA;610196.44;2024-08-05;False
0;901;1;21;2;33690;PORTON;106535.01;2024-06-12;True
0;901;1;21;2;33690;PORTON;987349.29;2024-08-05;False
0;901;1;21;3;33827;PANELCOLA;195248.15;2024-08-05;False
0;901;1;21;3;33826;PUERTA_DEL;1686942.13;2024-08-05;False
0;901;1;21;3;33892;ZOCALO;28966.82;2024-06-12;True
0;901;1;21;3;33892;ZOCALO;1156768.67;2024-08-05;False
0;901;1;21;4;33942;PANELCOLA;286153.35;2024-08-05;False
0;901;1;21;4;33941;PUERTA_DEL;631404.51;2024-08-05;False
0;901;1;21;4;34007;ZOCALO;1125385.63;2024-08-05;False
0;901;1;30;2;33714;LUNETA;204753.59;2024-08-05;False
0;901;1;30;2;33676;PANELCOLA;36884.63;2024-06-12;True
0;901;1;30;2;33676;PANELCOLA;610196.44;2024-08-05;False
0;901;1;30;2;49542;PARAGOLPE;29215.22;2024-06-12;True
0;901;1;30;2;49542;PARAGOLPE;668719.02;2024-08-05;False
0;901;1;30;2;33690;PORTON;101635.62;2024-06-12;True
0;901;1;30;2;33690;PORTON;987349.29;2024-08-05;False
0;901;1;30;3;33827;PANELCOLA;21484.16;2024-06-12;True
0;901;1;30;3;33827;PANELCOLA;195248.15;2024-08-05;False
0;901;1;30;3;33826;PUERTA_DEL;65775.40;2024-06-12;True
0;901;1;30;3;33826;PUERTA_DEL;1686942.13;2024-08-05;False
0;901;1;30;3;33892;ZOCALO;41054.57;2024-06-12;True
0;901;1;30;3;33892;ZOCALO;1156768.67;2024-08-05;False
0;901;1;30;4;33942;PANELCOLA;27119.56;2024-06-12;True
0;901;1;30;4;33942;PANELCOLA;286153.35;2024-08-05;False
0;901;1;30;4;33941;PUERTA_DEL;65775.40;2024-06-12;True
0;901;1;30;4;33941;PUERTA_DEL;631404.51;2024-08-05;False
0;901;1;30;4;34007;ZOCALO;19945.23;2024-06-12;True
0;901;1;30;4;34007;ZOCALO;1125385.63;2024-08-05;False
0;901;1;35;2;33713;LUNETA;206577.48;2024-07-01;False
0;901;1;35;3;33858;PANELCOLA;511030.56;2024-08-05;False
0;901;1;35;3;33826;PUERTA_DEL;1245976.47;2024-08-05;False
0;901;1;35;3;33873;PUERTA_TRA;27848.72;2024-05-03;False
0;901;1;35;3;33873;PUERTA_TRA;3891.97;2024-06-12;True
0;901;1;35;3;33892;ZOCALO;1374064.97;2024-07-02;False
0;901;1;35;4;33973;PANELCOLA;308964.52;2024-08-05;False
0;901;1;35;4;33941;PUERTA_DEL;1236235.28;2024-08-05;False
0;901;1;35;4;33972;PUERTA_TRA;1030331.23;2024-08-05;False
0;901;1;37;2;33724;GUARDABARRO;59655.80;2024-06-12;True
0;901;1;37;2;33724;GUARDABARRO;937342.00;2024-08-05;False
