COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;ID_ELEM;DESC_ELEM;VALOR;FECHA
901;1;5;3;33855;PUERTA DEL ESPEJO MANUAL CARCAZA;45932.19;2024-05-03
901;1;8;3;33855;PUERTA DEL ESPEJO MANUAL CARCAZA;27857.60;2024-05-03
901;1;8;3;33906;PUERTA DEL ESPEJO ELECTRICO;392021.52;2024-05-03
901;1;8;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;133508.72;2024-05-03
901;1;8;3;33930;PUERTA DEL ESPEJO ELECT CARCAZA;27857.60;2024-05-03
901;1;8;3;51801;PUERTA DEL ESPEJO MANUAL CARCAZA 1;62506.48;2024-05-03
901;1;8;3;51803;PUERTA DEL ESPEJO ELECTRICO 1;439649.31;2024-05-03
901;1;8;3;51804;PUERTA DEL ESPEJO ELECTRICO 2;641923.15;2024-05-03
901;1;8;3;51808;PUERTA DEL ESPEJO ELECT CARCAZA 1;62506.48;2024-05-03
901;1;8;3;51961;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;93311.40;2024-05-03
901;1;8;4;33969;PUERTA DEL ESPEJO MANUAL CRISTAL;72955.30;2024-05-03
901;1;8;4;33970;PUERTA DEL ESPEJO MANUAL CARCAZA;27857.60;2024-05-03
901;1;8;4;34030;PUERTA DEL ESPEJO ELECT MOTOR;133508.72;2024-05-03
901;1;8;4;34045;PUERTA DEL ESPEJO ELECT CRISTAL;89680.51;2024-05-03
901;1;8;4;34050;PUERTA DEL ESPEJO ELECT CARCAZA;27857.60;2024-05-03
901;1;8;4;51903;PUERTA DEL ESPEJO ELECTRICO 1;642074.07;2024-05-03
901;1;8;4;51962;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;93311.40;2024-05-03
901;1;12;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;115638.32;2024-05-03
901;1;12;3;33930;PUERTA DEL ESPEJO ELECT CARCAZA;60411.39;2024-05-03
901;1;12;3;33935;PUERTA DEL ESPEJO ELECT EMBELLEC;66412.58;2024-05-03
901;1;12;3;51803;PUERTA DEL ESPEJO ELECTRICO 1;577863.11;2024-05-03
901;1;12;3;69301;PUERTA DEL ESPEJO GIRO;21785.39;2024-05-03
901;1;12;4;34030;PUERTA DEL ESPEJO ELECT MOTOR;115638.32;2024-05-03
901;1;12;4;34049;PUERTA DEL ESPEJO ELECT EMBELLEC;49279.00;2024-05-03
901;1;12;4;34050;PUERTA DEL ESPEJO ELECT CARCAZA;60411.39;2024-05-03
901;1;12;4;51903;PUERTA DEL ESPEJO ELECTRICO 1;503993.43;2024-05-03
901;1;12;4;69303;PUERTA DEL ESPEJO GIRO;15784.20;2024-05-03
901;1;15;3;33906;PUERTA DEL ESPEJO ELECTRICO;439649.31;2024-05-03
901;1;15;3;33912;PUERTA DEL ESPEJO MANUAL EMBELLEC;27857.60;2024-05-03
901;1;15;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;133508.72;2024-05-03
901;1;15;3;33935;PUERTA DEL ESPEJO ELECT EMBELLEC;27857.60;2024-05-03
901;1;15;3;51802;PUERTA DEL ESPEJO MANUAL EMBELLEC 1;62506.48;2024-05-03
901;1;15;3;51803;PUERTA DEL ESPEJO ELECTRICO 1;641923.15;2024-05-03
901;1;15;3;51811;PUERTA DEL ESPEJO ELECT EMBELLEC 1;62506.48;2024-05-03
901;1;15;3;51961;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;93311.40;2024-05-03
901;1;15;4;33969;PUERTA DEL ESPEJO MANUAL CRISTAL;72955.30;2024-05-03
901;1;15;4;34027;PUERTA DEL ESPEJO MANUAL EMBELLEC;27857.60;2024-05-03
901;1;15;4;34030;PUERTA DEL ESPEJO ELECT MOTOR;133508.72;2024-05-03
901;1;15;4;34045;PUERTA DEL ESPEJO ELECT CRISTAL;89680.51;2024-05-03
901;1;15;4;34049;PUERTA DEL ESPEJO ELECT EMBELLEC;27857.60;2024-05-03
901;1;15;4;51903;PUERTA DEL ESPEJO ELECTRICO 1;642074.07;2024-05-03
901;1;15;4;51962;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;93311.40;2024-05-03
901;1;19;3;33930;PUERTA DEL ESPEJO ELECT CARCAZA;44396.38;2024-05-03
901;1;19;4;34050;PUERTA DEL ESPEJO ELECT CARCAZA;23765.07;2024-05-03
901;1;21;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;263777.16;2024-05-03
901;1;21;3;33855;PUERTA DEL ESPEJO MANUAL CARCAZA;45630.35;2024-05-03
901;1;21;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;133508.72;2024-05-03
901;1;21;3;33930;PUERTA DEL ESPEJO ELECT CARCAZA;44396.38;2024-05-03
901;1;21;3;33931;PUERTA DEL ESPEJO ELECT CRISTAL;114741.69;2024-05-03
901;1;21;3;51797;PUERTA DEL ESPEJO MANUAL C/ CONTROL 1;263777.16;2024-05-03
901;1;21;3;51798;PUERTA DEL ESPEJO MANUAL C/ CONTROL 2;183844.15;2024-05-03
901;1;21;3;51799;PUERTA DEL ESPEJO MANUAL C/ CONTROL 3;183844.15;2024-05-03
901;1;21;3;51801;PUERTA DEL ESPEJO MANUAL CARCAZA 1;44396.38;2024-05-03
901;1;21;3;51961;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;93311.40;2024-05-03
901;1;21;4;33968;PUERTA DEL ESPEJO MANUAL C/ CONTROL;249271.32;2024-05-03
901;1;21;4;33969;PUERTA DEL ESPEJO MANUAL CRISTAL;106343.57;2024-05-03
901;1;21;4;33970;PUERTA DEL ESPEJO MANUAL CARCAZA;45630.35;2024-05-03
901;1;21;4;34021;PUERTA DEL ESPEJO ELECTRICO;319518.98;2024-05-03
901;1;21;4;34030;PUERTA DEL ESPEJO ELECT MOTOR;133508.72;2024-05-03
901;1;21;4;34045;PUERTA DEL ESPEJO ELECT CRISTAL;133792.80;2024-05-03
901;1;21;4;34050;PUERTA DEL ESPEJO ELECT CARCAZA;23765.07;2024-05-03
901;1;21;4;51897;PUERTA DEL ESPEJO MANUAL C/ CONTROL 1;249271.32;2024-05-03
901;1;21;4;51901;PUERTA DEL ESPEJO MANUAL CARCAZA 1;23765.07;2024-05-03
901;1;23;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;263777.16;2024-05-03
901;1;23;3;33854;PUERTA DEL ESPEJO MANUAL CRISTAL;114741.69;2024-05-03
901;1;23;3;33855;PUERTA DEL ESPEJO MANUAL CARCAZA;45630.35;2024-05-03
901;1;23;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;133508.72;2024-05-03
901;1;23;3;33930;PUERTA DEL ESPEJO ELECT CARCAZA;44396.38;2024-05-03
901;1;23;3;33931;PUERTA DEL ESPEJO ELECT CRISTAL;114741.69;2024-05-03
901;1;23;3;51801;PUERTA DEL ESPEJO MANUAL CARCAZA 1;44396.38;2024-05-03
901;1;23;3;51961;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;93311.40;2024-05-03
901;1;23;4;33968;PUERTA DEL ESPEJO MANUAL C/ CONTROL;183844.15;2024-05-03
901;1;23;4;33969;PUERTA DEL ESPEJO MANUAL CRISTAL;106343.57;2024-05-03
901;1;23;4;33970;PUERTA DEL ESPEJO MANUAL CARCAZA;45630.35;2024-05-03
901;1;23;4;34021;PUERTA DEL ESPEJO ELECTRICO;319518.98;2024-05-03
901;1;23;4;34030;PUERTA DEL ESPEJO ELECT MOTOR;133508.72;2024-05-03
901;1;23;4;34045;PUERTA DEL ESPEJO ELECT CRISTAL;114741.69;2024-05-03
901;1;23;4;34050;PUERTA DEL ESPEJO ELECT CARCAZA;23765.07;2024-05-03
901;1;23;4;51901;PUERTA DEL ESPEJO MANUAL CARCAZA 1;23765.07;2024-05-03
901;1;30;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;183844.15;2024-05-03
901;1;30;3;33854;PUERTA DEL ESPEJO MANUAL CRISTAL;106343.57;2024-05-03
901;1;30;3;33855;PUERTA DEL ESPEJO MANUAL CARCAZA;45630.35;2024-05-03
901;1;30;3;33906;PUERTA DEL ESPEJO ELECTRICO;319518.98;2024-05-03
901;1;30;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;133508.72;2024-05-03
901;1;30;3;33930;PUERTA DEL ESPEJO ELECT CARCAZA;44396.38;2024-05-03
901;1;30;3;33931;PUERTA DEL ESPEJO ELECT CRISTAL;114741.69;2024-05-03
901;1;30;3;51797;PUERTA DEL ESPEJO MANUAL C/ CONTROL 1;183844.15;2024-05-03
901;1;30;3;51798;PUERTA DEL ESPEJO MANUAL C/ CONTROL 2;183844.15;2024-05-03
901;1;30;3;51799;PUERTA DEL ESPEJO MANUAL C/ CONTROL 3;183844.15;2024-05-03
901;1;30;3;51801;PUERTA DEL ESPEJO MANUAL CARCAZA 1;44396.38;2024-05-03
901;1;30;3;51961;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;93311.40;2024-05-03
