SEG;COD_CLASE;COD_PARTE;DESC_ELEM;VALOR_MO_MEAN;VALOR_MO_STD;RATIO_MO_MEAN;RATIO_MO_STD;CANT_HS_PINT_MEAN;CANT_HS_PINT_STD;RATIO_HS_PINT_MEAN;RATIO_HS_PINT_STD;VALOR_MAT_PINT_MEAN;VALOR_MAT_PINT_STD
0;901;1;CAPOT;12700.00;0.00;1.00;0.00;22044.85;6003.28;3.47;0.95;11675.17;3983.53
0;901;1;FRENTE;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0;901;1;GUARDABARRO;40573.02;782.80;6.39;0.12;10718.31;3306.16;1.69;0.52;5582.92;2203.21
0;901;1;PARAGOLPE_ALMA;5152.57;4009.10;0.81;0.63;17817.18;5566.43;2.81;0.88;10342.25;3775.13
0;901;1;PARAGOLPE_CTRO;20825.11;2661.13;3.28;0.42;21862.75;3120.80;3.44;0.49;11661.47;2766.38
1;901;1;CAPOT;12700.00;0.00;1.00;0.00;27214.89;8497.73;4.29;1.34;14331.80;5116.33
1;901;1;FRENTE;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1;901;1;GUARDABARRO;40210.83;1476.06;6.33;0.23;9693.50;2355.88;1.53;0.37;5193.54;1862.87
1;901;1;PARAGOLPE_ALMA;5129.45;3953.19;0.81;0.62;18167.64;4211.49;2.86;0.66;10621.40;3209.73
1;901;1;PARAGOLPE_CTRO;19284.67;4422.38;3.04;0.70;23278.66;4475.67;3.67;0.70;12361.76;3402.13
2;901;1;CAPOT;12700.00;0.00;1.00;0.00;30429.01;6432.30;4.79;1.01;15630.00;4594.26
2;901;1;FRENTE;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2;901;1;GUARDABARRO;40703.50;0.00;6.41;0.00;12340.17;3437.29;1.94;0.54;6181.44;2181.19
2;901;1;PARAGOLPE_ALMA;6383.42;4786.06;1.01;0.75;19079.09;5212.62;3.00;0.82;11086.23;3427.31
2;901;1;PARAGOLPE_CTRO;21590.00;0.00;3.40;0.00;25426.94;2623.65;4.00;0.41;13608.12;2352.78
3;901;1;CAPOT;12700.00;0.00;1.00;0.00;30429.01;6432.30;4.79;1.01;15630.00;4594.26
3;901;1;FRENTE;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3;901;1;GUARDABARRO;40703.50;0.00;6.41;0.00;8191.50;0.00;1.29;0.00;4214.50;900.32
3;901;1;PARAGOLPE_ALMA;3175.00;0.00;0.50;0.00;9906.00;0.00;1.56;0.00;5756.94;1165.19
3;901;1;PARAGOLPE_CTRO;21590.00;0.00;3.40;0.00;22606.00;0.00;3.56;0.00;11606.94;2564.83
0;907;1;CAPOT;12700.00;0.00;1.00;0.00;22044.85;6003.28;3.47;0.95;11675.17;3983.53
0;907;1;FRENTE;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0;907;1;GUARDABARRO;40573.02;782.80;6.39;0.12;10718.31;3306.16;1.69;0.52;5582.92;2203.21
0;907;1;PARAGOLPE_ALMA;5152.57;4009.10;0.81;0.63;17817.18;5566.43;2.81;0.88;10342.25;3775.13
0;907;1;PARAGOLPE_CTRO;20825.11;2661.13;3.28;0.42;21862.75;3120.80;3.44;0.49;11661.47;2766.38
1;907;1;CAPOT;12700.00;0.00;1.00;0.00;27214.89;8497.73;4.29;1.34;14331.80;5116.33
1;907;1;FRENTE;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1;907;1;GUARDABARRO;40210.83;1476.06;6.33;0.23;9693.50;2355.88;1.53;0.37;5193.54;1862.87
1;907;1;PARAGOLPE_ALMA;5129.45;3953.19;0.81;0.62;18167.64;4211.49;2.86;0.66;10621.40;3209.73
1;907;1;PARAGOLPE_CTRO;19284.67;4422.38;3.04;0.70;23278.66;4475.67;3.67;0.70;12361.76;3402.13
2;907;1;CAPOT;12700.00;0.00;1.00;0.00;30429.01;6432.30;4.79;1.01;15630.00;4594.26
2;907;1;FRENTE;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2;907;1;GUARDABARRO;40703.50;0.00;6.41;0.00;12340.17;3437.29;1.94;0.54;6181.44;2181.19
2;907;1;PARAGOLPE_ALMA;6383.42;4786.06;1.01;0.75;19079.09;5212.62;3.00;0.82;11086.23;3427.31
2;907;1;PARAGOLPE_CTRO;21590.00;0.00;3.40;0.00;25426.94;2623.65;4.00;0.41;13608.12;2352.78
3;907;1;CAPOT;12700.00;0.00;1.00;0.00;30429.01;6432.30;4.79;1.01;15630.00;4594.26
3;907;1;FRENTE;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3;907;1;GUARDABARRO;40703.50;0.00;6.41;0.00;8191.50;0.00;1.29;0.00;4214.50;900.32
3;907;1;PARAGOLPE_ALMA;3175.00;0.00;0.50;0.00;9906.00;0.00;1.56;0.00;5756.94;1165.19
3;907;1;PARAGOLPE_CTRO;21590.00;0.00;3.40;0.00;22606.00;0.00;3.56;0.00;11606.94;2564.83
