SEG;COD_CLASE;COD_PARTE;DESC_ELEM;VALOR_MO_MEAN;VALOR_MO_STD;RATIO_MO_MEAN;RATIO_MO_STD;CANT_HS_PINT_MEAN;CANT_HS_PINT_STD;RATIO_HS_PINT_MEAN;RATIO_HS_PINT_STD;VALOR_MAT_PINT_MEAN;VALOR_MAT_PINT_STD
0;901;3;CRISTAL_DEL;4862.29;1028.40;0.77;0.16;0.00;0.00;0.00;0.00;0.00;0.00
0;901;3;CRISTAL_TRA;6658.43;864.03;1.05;0.14;0.00;0.00;0.00;0.00;0.00;0.00
0;901;3;ESPEJO;855.33;118.52;0.13;0.02;0.00;0.00;0.00;0.00;0.00;0.00
0;901;3;MOLDURA;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0;901;3;PUERTA_DEL;24838.16;2401.07;3.91;0.38;23602.94;3445.62;3.72;0.54;12416.50;2952.73
0;901;3;PUERTA_DEL_PANEL;25273.00;4206.64;3.98;0.66;12584.91;1754.90;1.98;0.28;6571.56;1453.06
0;901;3;PUERTA_TRA;24314.42;760.79;3.83;0.12;18984.86;2738.89;2.99;0.43;9896.73;2275.86
0;901;3;PUERTA_TRA_PANEL;24485.60;2891.59;3.86;0.46;11023.60;1268.82;1.74;0.20;6245.67;1106.97
0;901;3;ZOCALO;18902.95;1472.83;2.98;0.23;5687.43;1407.10;0.90;0.22;3085.46;1012.83
1;901;3;CRISTAL_DEL;5080.00;1745.96;0.80;0.27;0.00;0.00;0.00;0.00;0.00;0.00
1;901;3;CRISTAL_TRA;6985.00;0.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1;901;3;ESPEJO;835.12;147.32;0.13;0.02;0.00;0.00;0.00;0.00;0.00;0.00
1;901;3;MOLDURA;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1;901;3;PUERTA_DEL;24289.29;3329.47;3.83;0.52;24518.04;3409.04;3.86;0.54;12907.98;3100.62
1;901;3;PUERTA_DEL_PANEL;20531.67;5246.60;3.23;0.83;13787.44;1753.02;2.17;0.28;6497.38;1043.43
1;901;3;PUERTA_TRA;24134.23;1182.03;3.80;0.19;20205.97;2607.87;3.18;0.41;10896.02;2242.40
1;901;3;PUERTA_TRA_PANEL;20828.00;5279.29;3.28;0.83;11010.90;1221.94;1.73;0.19;5292.80;687.11
1;901;3;ZOCALO;18013.52;2429.01;2.84;0.38;6298.66;2311.80;0.99;0.36;3301.77;1485.50
2;901;3;CRISTAL_DEL;5080.00;1745.96;0.80;0.27;0.00;0.00;0.00;0.00;0.00;0.00
2;901;3;CRISTAL_TRA;6985.00;0.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2;901;3;ESPEJO;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2;901;3;MOLDURA;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
2;901;3;PUERTA_DEL;25400.00;0.00;4.00;0.00;25218.68;1608.98;3.97;0.25;13448.27;2179.68
2;901;3;PUERTA_DEL_PANEL;20531.67;5246.60;3.23;0.83;13787.44;1753.02;2.17;0.28;6497.38;1043.43
2;901;3;PUERTA_TRA;24447.50;0.00;3.85;0.00;23156.09;2623.18;3.65;0.41;12117.00;2681.97
2;901;3;PUERTA_TRA_PANEL;25400.00;0.00;4.00;0.00;14647.33;256.63;2.31;0.04;7412.33;1138.86
2;901;3;ZOCALO;19304.00;0.00;3.04;0.00;8960.56;2600.49;1.41;0.41;4740.78;1924.99
3;901;3;CRISTAL_DEL;5080.00;1745.96;0.80;0.27;0.00;0.00;0.00;0.00;0.00;0.00
3;901;3;CRISTAL_TRA;6985.00;0.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3;901;3;ESPEJO;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3;901;3;MOLDURA;889.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3;901;3;PUERTA_DEL;25400.00;0.00;4.00;0.00;18986.50;0.00;2.99;0.00;9592.42;2273.80
3;901;3;PUERTA_DEL_PANEL;27305.00;0.00;4.30;0.00;10668.00;0.00;1.68;0.00;4907.00;0.00
3;901;3;PUERTA_TRA;24447.50;0.00;3.85;0.00;15557.50;0.00;2.45;0.00;8161.50;1525.62
3;901;3;PUERTA_TRA_PANEL;25400.00;0.00;4.00;0.00;8699.50;0.00;1.37;0.00;4001.00;0.00
3;901;3;ZOCALO;19304.00;0.00;3.04;0.00;5905.50;0.00;0.93;0.00;3412.00;389.00
