COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;NRO_PRESU;ID_ELEM;VALOR_MO;VALOR_REPUESTO;CANT_HS_PINT;VALOR_MAT_PINT
901;1;10;2;7981758;26;21.90;551725.96;11.29;103724.21
901;1;10;2;7997675;6;5.90;81361.65;4.35;35850.49
901;1;10;2;8017786;3;5.85;56677.22;3.96;16649.80
901;1;10;2;8036216;13;28.97;292286.36;12.17;87521.62
901;1;10;2;8049370;6;10.68;56677.22;5.13;36472.45
901;1;10;2;8062834;3;8.08;64433.05;3.96;20059.98
901;1;10;2;8074937;5;0.00;0.00;0.00;0.00
901;1;10;2;8110093;5;6.61;66976.96;2.97;15833.71
901;1;10;2;8126843;5;2.65;0.00;3.28;20092.43
901;1;10;2;8130057;8;2.20;69647.36;0.99;5803.75
901;1;10;2;8145119;8;4.31;87939.17;1.50;8816.41
901;1;10;2;8175651;9;5.91;115812.51;3.88;34637.25
901;1;10;2;8193534;1;0.00;0.00;0.42;9605.54
901;1;10;2;8198899;5;0.00;0.00;0.00;0.00
901;1;10;2;8219752;6;2.40;109774.85;0.95;8264.85
901;1;10;2;8237586;2;4.06;86507.35;3.00;17632.88
901;1;10;2;8239377;5;2.63;23864.10;3.00;17632.88
901;1;10;2;8240115;3;1.41;0.00;1.89;16529.64
901;1;10;2;8243307;9;8.08;195208.30;3.57;30921.48
901;1;10;2;8250840;2;0.00;0.00;0.00;0.00
901;1;10;2;8268571;8;14.18;293362.63;3.84;33591.27
901;1;10;2;8278977;10;2.52;99871.23;0.00;0.00
901;1;10;2;8279609;13;8.10;181784.62;2.97;15833.71
901;1;10;2;8285641;13;13.07;430777.05;8.53;59751.70
901;1;10;2;8311148;13;6.39;239457.53;2.67;29887.51
901;1;10;2;8329963;9;10.01;157652.18;4.39;47333.36
901;1;10;2;8342599;4;0.00;0.00;0.00;0.00
901;1;10;3;7981758;2;0.00;0.00;0.00;0.00
901;1;10;3;8009411;1;1.80;0.00;1.36;11901.32
901;1;10;3;8009974;6;12.83;195685.58;6.90;63513.70
901;1;10;3;8017786;5;4.58;32813.13;2.32;22166.82
901;1;10;3;8036216;3;3.85;90683.56;3.00;33221.03
901;1;10;3;8049370;1;0.00;0.00;0.28;7803.44
901;1;10;3;8066742;1;0.00;0.00;0.30;8332.51
901;1;10;3;8074937;4;3.08;0.00;2.68;17229.46
901;1;10;3;8125170;2;1.80;11335.45;1.36;11901.32
901;1;10;3;8126843;2;0.00;0.00;0.00;0.00
901;1;10;3;8155457;1;0.00;0.00;0.30;8332.51
901;1;10;3;8237586;3;6.38;0.00;5.39;30866.60
901;1;10;3;8239377;7;12.35;443872.06;7.29;62125.94
901;1;10;3;8250840;2;0.00;0.00;0.00;0.00
901;1;10;3;8268571;4;8.65;196878.79;5.65;47466.10
901;1;10;4;7981758;2;0.00;0.00;0.00;0.00
901;1;10;4;8009411;1;1.80;0.00;1.36;11901.32
901;1;10;4;8036216;5;8.54;81973.17;5.99;44234.25
901;1;10;4;8062834;4;5.58;77677.63;3.82;38049.09
901;1;10;4;8074937;4;0.00;0.00;0.00;0.00
901;1;10;4;8096917;2;1.80;0.00;1.36;11901.32
901;1;10;4;8126843;5;2.30;14318.46;2.02;11889.57
901;1;10;4;8150696;2;4.00;78870.84;2.91;26742.05
901;1;10;4;8193534;4;8.30;127076.31;3.15;24065.75
901;1;10;4;8219676;2;0.00;0.00;0.00;0.00
901;1;10;4;8240115;11;8.74;158099.64;6.02;44046.38
901;1;10;4;8250840;2;4.00;126778.07;2.91;26742.05
901;1;10;4;8279609;1;0.00;0.00;0.00;0.00
901;1;10;4;8342599;3;3.85;130987.04;2.70;33697.71
901;1;12;2;7979337;4;5.21;0.00;4.00;30961.81
901;1;12;2;7981317;3;7.33;0.00;4.53;32319.86
901;1;12;2;7982438;1;0.00;0.00;0.24;6475.34
901;1;12;2;7983069;1;0.14;304556.27;0.00;0.00
901;1;12;2;7986378;5;5.11;189269.54;4.00;30961.81
901;1;12;2;7989699;19;24.88;3065184.83;11.72;102809.50
901;1;12;2;7991606;4;5.71;0.00;5.36;32215.39
901;1;12;2;7995370;4;3.96;189269.54;3.38;30344.51
901;1;12;2;7997817;5;2.53;721908.40;2.77;26300.62
901;1;12;2;7998579;5;5.78;12729.53;5.36;32215.39
901;1;12;2;8004698;2;3.15;0.00;2.32;21095.80
901;1;12;2;8005617;3;4.40;0.00;5.30;29044.10
901;1;12;2;8010354;13;6.05;1115335.81;4.72;41321.87
901;1;12;2;8010678;2;2.10;619951.55;2.77;26300.62
901;1;12;2;8011302;5;8.52;0.00;3.02;23767.45
901;1;12;2;8011648;9;12.38;1711742.09;6.11;59742.81
901;1;12;2;8011834;3;0.00;0.00;0.00;0.00
901;1;12;2;8013979;4;2.66;0.00;2.71;25658.67
901;1;12;2;8015435;13;5.33;1852898.93;4.03;37868.14
901;1;12;2;8015453;2;2.56;0.00;1.68;9866.01
901;1;12;2;8018775;6;2.69;949776.68;3.22;30236.23
901;1;12;2;8022857;15;10.63;1868799.82;7.99;80525.03
