COD_CLASE;COD_MARCA;COD_MODELO
901;1;8
901;1;12
901;1;15
901;1;19
901;1;21
901;1;23
901;1;30
901;1;37
901;1;38
901;1;39
901;1;41
901;1;42
901;1;45
901;1;47
901;1;48
901;1;49
901;1;53
901;2;9
901;2;28
901;2;29
901;2;30
901;2;32
901;2;35
901;2;36
901;2;39
901;2;41
901;2;42
901;2;44
901;2;47
901;2;49
901;2;50
901;2;53
901;2;54
901;2;56
901;3;38
901;3;39
901;3;40
901;3;41
901;3;49
901;3;52
901;3;53
901;3;54
901;3;55
901;3;56
901;3;61
901;3;64
901;4;5
901;4;12
901;4;19
901;4;29
901;4;31
901;4;32
901;4;33
901;4;34
901;4;35
901;4;37
901;4;38
901;4;41
901;4;42
901;4;44
901;4;45
901;4;48
901;4;49
901;4;52
901;4;53
901;4;54
901;4;55
901;4;56
901;4;57
901;4;59
901;4;63
901;4;66
901;5;17
901;5;41
901;5;43
901;5;46
901;5;47
901;5;52
901;5;53
901;5;55
901;6;8
901;6;14
901;6;36
901;6;38
901;6;39
901;6;42
901;6;44
901;6;45
901;6;49
901;6;51
901;6;52
901;6;53
901;9;12
901;9;26
901;9;28
901;9;29
901;9;30
901;9;33
901;9;37
901;10;1
901;10;28
901;10;30
901;10;32
901;10;37
901;10;40
901;10;41
901;11;17
901;12;13
901;12;14
901;12;26
901;12;29
901;12;30
901;23;9
901;23;10
901;23;14
901;23;15
901;25;6
901;25;14
901;25;19
901;25;25
901;25;26
901;28;1
901;28;30
901;31;17
901;31;22
901;31;25
901;33;10
901;33;17
901;33;21
901;109;1
901;109;2
901;109;4
901;109;5

