CLASE;MARCA;MODELO;DMARCA;DMODELO
908;65;1;Siam;QU
908;500;1;Honda Motos;BIZ
908;500;2;Honda Motos;ECONO POWER
908;500;3;Honda Motos;WAVE 05/07 Y 07/13 14/..
908;500;4;Honda Motos;POP
908;500;5;Honda Motos;DAX
908;501;1;Yamaha;CRYPTON
908;501;3;Yamaha;V 100
908;502;1;Kawasaki;KAZER / AN
908;504;1;Appia;CITIPLUS
908;504;2;Appia;DCN
908;504;4;Appia;VECTRA
908;504;5;Appia;ANDINA
908;505;1;Beta;BS
908;505;2;Beta;CUB URBA
908;505;4;Beta;BOY
908;505;5;Beta;FOUR
908;506;1;Brava;APOLO
908;506;2;Brava;ATHENE
908;506;3;Brava;NEVADA
908;506;4;Brava;ALPINA 110
908;507;1;Cerro;CE
908;507;2;Cerro;DOT
908;508;1;Corven;ENERGY
908;508;2;Corven;MIRAGE
908;508;3;Corven;EXPERT
908;508;4;Corven;DAX
908;509;2;Daelim / Kikai;KIKAI
908;512;1;Gilera;C 110
908;512;3;Gilera;FX
908;512;4;Gilera;SMASH
908;512;5;Gilera;FUTURA
908;512;6;Gilera;VT 70
908;513;1;Guerrero/Bajaj/Rouser;G
908;513;2;Guerrero/Bajaj/Rouser;GN KEOKEN
908;513;3;Guerrero/Bajaj/Rouser;GW WARRIOR
908;513;4;Guerrero/Bajaj/Rouser;TRIP
908;513;6;Guerrero/Bajaj/Rouser;DAY
908;513;7;Guerrero/Bajaj/Rouser;G ECONO
908;514;1;IMSA;TRACK
908;515;1;Jianshe;JS
908;516;1;Keller;KN
908;516;2;Keller;CRONO
908;517;1;Konisa;MAGNIFIKA
908;518;1;Kymco;ACTIVE
908;518;5;Kymco;VISA
908;518;6;Kymco;SPIKE
908;519;1;Motomel / Hyosung;BIT
908;519;2;Motomel / Hyosung;C
908;519;4;Motomel / Hyosung;ECO
908;519;5;Motomel / Hyosung;FUSION
908;519;6;Motomel / Hyosung;PX
908;519;8;Motomel / Hyosung;MAX
908;519;9;Motomel / Hyosung;BLITZ
908;519;10;Motomel / Hyosung;GO
908;520;1;Maverick;CLUB
908;520;3;Maverick;F1 y FOX 125
908;520;4;Maverick;70 GO
908;521;1;Mondial;DAX
908;521;2;Mondial;LD
908;521;3;Mondial;QJ
908;527;1;Skygo;SG
908;528;1;Suzuki Motos;SJ CUB
908;529;1;Zanella / Keeway;DUE 06/...
908;529;2;Zanella / Keeway;FIRE /NEW FIRE
908;529;3;Zanella / Keeway;SEXY
908;529;4;Zanella / Keeway;SOL
908;529;5;Zanella / Keeway;VENTO / HJ110
908;529;6;Zanella / Keeway;ZB
908;529;9;Zanella / Keeway;HOT
908;529;10;Zanella / Keeway;SWING
908;529;14;Zanella / Keeway;CUB
908;529;15;Zanella / Keeway;TARGET
908;534;5;Jincheng;JC 110
908;535;1;Okinoi;OKINOI 110
908;537;1;Jmstar;NEVADA
908;543;1;Euromot;LUCKY
908;543;2;Euromot;110
908;546;2;Legnano;VERONA
908;546;3;Legnano;YG
908;549;2;Da Dalt;DS
908;553;1;Tibo;JET
908;565;1;Dayang;DY 100 A
908;566;1;Jordan;BUSINESS
908;574;1;Ghiggeri;VITA
909;60;1;Piaggio;#VESPA 125
909;500;1;Honda Motos;ELITE
